snapshot_date,facility_id,sku_id,on_hand_qty,reserved_qty,available_qty
2024-12-21,FAC-026,SKU-01998,2076,533,3400
2024-03-07,FAC-005,SKU-02916,495,713,252
2025-10-27,FAC-033,SKU-01164,1080,82,1798
2025-11-16,FAC-022,SKU-02888,200,287,4262
2023-10-01,FAC-093,SKU-00892,3854,397,4347
2024-04-15,FAC-019,SKU-00360,3905,23,1807
2024-03-17,FAC-010,SKU-02287,1244,273,255
2024-01-06,FAC-041,SKU-00290,4944,502,3601
2024-05-07,FAC-051,SKU-01982,3661,885,1094
2024-05-27,FAC-052,SKU-01493,3790,794,2941
2025-02-17,FAC-080,SKU-01869,4833,785,4281
2024-07-27,FAC-057,SKU-01403,913,381,920
2024-11-23,FAC-080,SKU-00878,1508,323,4950
2023-04-17,FAC-064,SKU-00159,1852,412,160
2024-09-13,FAC-046,SKU-02238,1830,670,1259
2025-08-27,FAC-005,SKU-02431,774,130,2209
2024-03-03,FAC-014,SKU-02222,86,80,274
2024-05-12,FAC-020,SKU-00839,379,194,1527
2023-08-12,FAC-014,SKU-02507,4211,838,1760
2025-02-25,FAC-013,SKU-02464,1870,926,3083
2025-02-22,FAC-026,SKU-00381,2468,508,3277
2023-08-17,FAC-080,SKU-01913,215,218,332
2023-04-27,FAC-011,SKU-02916,2911,637,2633
2023-03-22,FAC-048,SKU-02563,3862,485,2934
2025-05-08,FAC-076,SKU-01466,928,898,4507
2024-05-23,FAC-070,SKU-00957,204,460,3924
2023-10-20,FAC-057,SKU-01920,2717,785,2780
2025-06-18,FAC-027,SKU-02046,996,125,4878
2024-01-20,FAC-013,SKU-01593,395,85,367
2023-06-24,FAC-046,SKU-00804,1617,172,4056
2024-10-05,FAC-083,SKU-00283,3027,651,1963
2024-08-20,FAC-006,SKU-02817,332,38,1935
2023-07-13,FAC-008,SKU-01128,1925,945,1420
2023-04-23,FAC-091,SKU-00661,433,701,1394
2023-04-08,FAC-080,SKU-02184,4995,694,1835
2023-06-18,FAC-005,SKU-02874,2920,786,3081
2023-02-16,FAC-040,SKU-01880,1227,429,3714
2023-11-14,FAC-034,SKU-01436,1907,93,1708
2025-04-02,FAC-017,SKU-02164,1988,629,1259
2023-07-28,FAC-047,SKU-01555,4403,564,3529
2023-10-09,FAC-048,SKU-01506,590,363,2969
2024-07-23,FAC-058,SKU-02216,3403,891,1668
2025-02-15,FAC-020,SKU-00906,4557,990,1589
2024-10-26,FAC-097,SKU-00072,1751,976,3555
2024-06-26,FAC-041,SKU-02319,3311,219,620
2023-02-24,FAC-083,SKU-00648,4059,744,4175
2024-09-20,FAC-015,SKU-00742,3953,67,1080
2025-03-08,FAC-047,SKU-01710,4448,260,3906
2023-03-18,FAC-071,SKU-00284,972,674,4422
2023-04-24,FAC-074,SKU-02750,2767,646,2479
2024-01-01,FAC-021,SKU-00637,3037,399,4516
2025-07-03,FAC-061,SKU-00472,4352,89,2118
2023-05-19,FAC-012,SKU-00953,539,147,149
2024-06-03,FAC-024,SKU-00780,734,131,3593
2023-06-12,FAC-046,SKU-02984,4707,95,4205
2023-04-08,FAC-079,SKU-02955,364,712,1641
2023-07-07,FAC-064,SKU-01212,4033,898,207
2023-03-24,FAC-018,SKU-00384,310,700,2230
2025-10-12,FAC-081,SKU-00123,2665,628,2367
2023-07-05,FAC-084,SKU-00617,4452,370,3205
2024-11-28,FAC-099,SKU-01028,4225,991,3077
2024-05-27,FAC-056,SKU-02308,4771,108,2994
2025-03-22,FAC-067,SKU-02879,2717,817,2338
2024-01-26,FAC-003,SKU-02694,243,565,551
2024-08-21,FAC-040,SKU-01304,2529,439,3184
2023-07-16,FAC-089,SKU-01536,2979,372,3842
2024-10-02,FAC-012,SKU-01595,3095,641,4741
2023-11-20,FAC-003,SKU-01380,4725,219,2076
2025-06-11,FAC-007,SKU-00294,2176,196,1243
2024-12-07,FAC-012,SKU-01560,2583,525,2230
2023-01-21,FAC-059,SKU-00165,4372,44,3417
2023-10-07,FAC-047,SKU-02019,2764,713,2131
2024-02-09,FAC-091,SKU-02676,101,811,2447
2024-07-13,FAC-021,SKU-00954,1654,927,3276
2025-04-12,FAC-100,SKU-00734,3257,485,2719
2024-11-25,FAC-015,SKU-01656,2994,686,4010
2024-06-08,FAC-051,SKU-00371,777,859,583
2025-04-20,FAC-006,SKU-00709,2033,256,2339
2025-03-02,FAC-048,SKU-00398,4428,251,2291
2024-07-30,FAC-002,SKU-00767,367,189,4874
2024-12-30,FAC-099,SKU-02586,3029,642,2828
2024-08-16,FAC-091,SKU-02010,4610,358,2925
2025-09-06,FAC-048,SKU-01619,763,280,2420
2025-09-26,FAC-045,SKU-01764,1791,541,2546
2025-06-20,FAC-015,SKU-01803,3866,375,1948
2025-09-24,FAC-055,SKU-01810,899,611,3256
2023-08-24,FAC-097,SKU-01091,1440,997,2729
2024-11-15,FAC-004,SKU-00524,4010,569,1566
2023-06-30,FAC-001,SKU-00798,2974,669,2416
2025-05-08,FAC-031,SKU-02368,4644,782,2421
2024-06-08,FAC-046,SKU-00146,3918,222,378
2024-01-30,FAC-023,SKU-01199,1892,682,688
2024-04-23,FAC-081,SKU-02793,4865,472,3804
2023-03-30,FAC-017,SKU-01185,3761,636,86
2023-03-19,FAC-099,SKU-00462,3098,790,3694
2023-06-24,FAC-068,SKU-00535,1229,237,1499
2025-05-29,FAC-017,SKU-02840,2839,217,1753
2023-09-02,FAC-047,SKU-00784,3682,63,1622
2024-12-15,FAC-071,SKU-02704,2871,186,4198
2023-05-16,FAC-056,SKU-00089,1313,561,131
2023-05-23,FAC-023,SKU-02737,2640,405,1464
2024-10-02,FAC-065,SKU-01830,2720,143,551
2024-04-24,FAC-077,SKU-02198,4862,247,1932
2025-05-11,FAC-001,SKU-02696,4000,336,920
2024-02-06,FAC-092,SKU-01406,3707,666,1030
2023-05-21,FAC-095,SKU-00777,3346,144,477
2024-02-28,FAC-090,SKU-00315,395,592,1642
2023-05-13,FAC-007,SKU-02188,2051,851,4648
2024-12-04,FAC-053,SKU-01333,1246,129,1759
2025-01-16,FAC-082,SKU-00889,1195,118,3108
2023-05-29,FAC-061,SKU-02173,1399,419,3996
2025-11-09,FAC-017,SKU-02580,4244,278,2264
2025-11-29,FAC-009,SKU-01439,3595,347,3657
2025-02-03,FAC-048,SKU-01382,3270,473,2578
2023-10-23,FAC-055,SKU-01699,2890,106,315
2025-05-12,FAC-049,SKU-02803,544,940,2268
2024-07-11,FAC-024,SKU-00127,4053,562,3972
2023-10-06,FAC-100,SKU-02392,2503,331,4837
2025-08-16,FAC-066,SKU-02454,422,336,2146
2023-10-01,FAC-058,SKU-02896,4827,936,451
2024-08-13,FAC-011,SKU-01567,4566,475,3994
2025-11-18,FAC-064,SKU-02882,680,394,4184
2023-02-17,FAC-007,SKU-01127,2842,997,1063
2025-10-25,FAC-084,SKU-01736,3849,492,1283
2024-06-17,FAC-086,SKU-02931,3276,906,4003
2024-09-25,FAC-024,SKU-02994,670,974,1930
2023-06-29,FAC-084,SKU-01402,2202,409,2873
2023-01-29,FAC-073,SKU-01226,1462,412,2833
2025-06-24,FAC-080,SKU-02495,2617,409,1142
2024-12-28,FAC-094,SKU-01591,2812,278,4337
2024-04-29,FAC-031,SKU-00710,1326,970,278
2025-11-14,FAC-082,SKU-01971,97,899,3435
2023-08-18,FAC-086,SKU-00880,3118,371,110
2025-07-25,FAC-074,SKU-00362,1990,713,3596
2023-06-19,FAC-060,SKU-02083,2661,508,3769
2025-07-10,FAC-075,SKU-01916,345,233,1514
2023-09-09,FAC-009,SKU-00716,3148,444,733
2023-12-20,FAC-026,SKU-00395,4642,231,1965
2024-10-20,FAC-080,SKU-00672,1953,32,1934
2024-03-03,FAC-039,SKU-00827,4798,634,583
2024-05-20,FAC-033,SKU-02961,2785,438,325
2023-01-01,FAC-067,SKU-00787,486,707,2807
2024-08-18,FAC-043,SKU-02035,4634,739,856
2023-05-25,FAC-061,SKU-00099,4012,7,4535
2023-09-20,FAC-065,SKU-02556,907,469,3155
2024-05-26,FAC-015,SKU-01868,2854,788,4777
2025-09-07,FAC-048,SKU-01258,1123,349,1107
2025-04-20,FAC-057,SKU-01045,4991,120,2392
2025-05-02,FAC-058,SKU-01778,1332,187,2692
2023-05-28,FAC-035,SKU-01712,81,861,262
2023-03-14,FAC-063,SKU-02866,3077,655,2606
2024-08-27,FAC-022,SKU-00733,3805,685,1691
2024-11-04,FAC-084,SKU-01548,951,577,2512
2025-06-27,FAC-026,SKU-02958,120,22,3537
2025-07-13,FAC-076,SKU-02326,2698,801,3155
2023-05-17,FAC-076,SKU-01452,1638,191,953
2024-12-08,FAC-017,SKU-00489,3846,989,2433
2023-04-03,FAC-086,SKU-01442,1349,831,236
2023-01-27,FAC-050,SKU-01124,3491,411,2709
2024-11-01,FAC-079,SKU-02738,4482,644,4625
2023-09-10,FAC-056,SKU-01501,3068,418,1351
2025-04-21,FAC-009,SKU-02188,3256,136,3978
2023-09-14,FAC-013,SKU-00338,2667,757,3454
2023-07-03,FAC-056,SKU-00986,4253,549,4756
2025-10-06,FAC-100,SKU-01854,423,749,665
2025-08-11,FAC-060,SKU-02699,733,82,3514
2024-12-15,FAC-076,SKU-00858,3784,680,4587
2024-12-13,FAC-005,SKU-01056,2949,315,122
2023-09-12,FAC-013,SKU-01041,664,262,4951
2025-06-11,FAC-071,SKU-02290,3421,189,4207
2024-04-24,FAC-073,SKU-01410,2370,116,4334
2024-05-10,FAC-089,SKU-01730,3989,537,353
2023-02-09,FAC-021,SKU-00893,172,77,4493
2025-03-15,FAC-087,SKU-02258,712,479,4506
2025-11-27,FAC-077,SKU-02693,3441,806,2870
2025-08-08,FAC-022,SKU-01484,2822,157,176
2023-11-21,FAC-053,SKU-01627,4123,585,3188
2024-10-15,FAC-053,SKU-00668,2284,513,2968
2025-06-13,FAC-060,SKU-00508,631,805,2247
2025-04-17,FAC-027,SKU-01509,4218,836,2631
2025-07-31,FAC-076,SKU-00113,3536,965,4563
2025-03-09,FAC-030,SKU-02776,4415,283,2345
2025-05-03,FAC-076,SKU-02868,3542,782,4476
2023-11-27,FAC-021,SKU-01388,3794,540,3153
2024-05-16,FAC-052,SKU-01941,4723,925,3007
2023-09-13,FAC-034,SKU-01003,1310,43,544
2025-06-04,FAC-078,SKU-00857,773,503,3521
2023-08-08,FAC-072,SKU-02187,1508,235,2949
2025-02-13,FAC-048,SKU-00111,958,862,2438
2024-01-17,FAC-076,SKU-01976,2721,94,2350
2023-07-08,FAC-001,SKU-00470,151,34,2626
2023-12-04,FAC-024,SKU-01520,4025,921,2526
2023-12-07,FAC-032,SKU-02650,1401,887,934
2024-05-14,FAC-051,SKU-01531,2362,584,885
2025-08-17,FAC-060,SKU-02255,3402,692,4749
2025-04-18,FAC-085,SKU-00995,1815,495,787
2025-05-09,FAC-078,SKU-01786,1329,180,913
2025-06-03,FAC-085,SKU-01864,1277,6,3931
2025-02-11,FAC-033,SKU-01996,3919,780,4218
2023-10-22,FAC-093,SKU-02271,1110,595,2853
2024-04-30,FAC-068,SKU-01154,1314,754,1174
2023-07-26,FAC-042,SKU-01033,2743,700,1724
2025-05-18,FAC-014,SKU-00938,764,475,4281
2024-06-26,FAC-033,SKU-02656,4886,878,3359
2025-04-29,FAC-027,SKU-00364,2461,733,4174
2023-05-18,FAC-029,SKU-01528,1892,498,485
2023-01-05,FAC-048,SKU-02372,937,552,3978
2023-06-15,FAC-081,SKU-02321,2698,218,3695
2025-07-05,FAC-047,SKU-01379,696,505,719
2023-06-19,FAC-017,SKU-02613,977,944,1253
2024-02-29,FAC-025,SKU-02296,4506,221,3878
2025-01-17,FAC-025,SKU-02483,2310,680,555
2024-12-25,FAC-003,SKU-01405,3247,151,370
2025-05-31,FAC-005,SKU-02696,596,285,1502
2024-09-30,FAC-012,SKU-01903,1614,384,3652
2023-09-30,FAC-031,SKU-01108,2119,279,1539
2025-04-17,FAC-089,SKU-02969,4315,787,473
2025-08-21,FAC-049,SKU-02136,2651,949,877
2023-12-01,FAC-016,SKU-00224,2017,767,1993
2025-04-30,FAC-078,SKU-02902,462,647,1754
2023-03-31,FAC-006,SKU-00505,3179,208,2310
2025-09-06,FAC-053,SKU-00067,628,94,563
2024-04-20,FAC-043,SKU-00785,1242,707,1185
2023-12-03,FAC-063,SKU-01709,2713,865,3355
2023-03-04,FAC-031,SKU-00700,4961,544,3554
2025-02-22,FAC-030,SKU-00408,4478,732,1540
2024-01-13,FAC-059,SKU-00129,3074,115,3214
2023-07-17,FAC-004,SKU-00776,2245,59,3488
2025-02-22,FAC-097,SKU-01684,3250,82,2075
2024-08-29,FAC-031,SKU-01355,3751,333,1875
2024-04-14,FAC-064,SKU-00108,2960,856,3099
2023-07-31,FAC-044,SKU-01882,2624,384,3444
2023-04-20,FAC-043,SKU-00160,4364,766,590
2024-01-30,FAC-005,SKU-01464,465,890,724
2025-04-15,FAC-022,SKU-02909,499,917,2423
2023-10-30,FAC-100,SKU-02074,4799,749,2978
2024-10-10,FAC-069,SKU-00934,1971,899,4415
2025-09-20,FAC-099,SKU-01429,523,947,4547
2023-12-17,FAC-031,SKU-01916,683,610,4122
2025-06-26,FAC-071,SKU-01688,3353,689,940
2024-06-05,FAC-075,SKU-02649,3881,243,686
2023-07-06,FAC-029,SKU-01262,2151,118,2740
2024-11-25,FAC-060,SKU-02357,667,102,4929
2024-06-08,FAC-071,SKU-00818,468,736,936
2024-08-22,FAC-021,SKU-00292,4911,271,4904
2023-10-23,FAC-099,SKU-00400,3505,441,1326
2025-09-20,FAC-041,SKU-00205,4336,236,4140
2023-02-03,FAC-012,SKU-02897,1290,546,1116
2023-08-12,FAC-068,SKU-01063,968,715,2112
2023-08-02,FAC-034,SKU-00568,3572,355,4267
2023-07-16,FAC-083,SKU-02860,2146,370,3581
2024-04-05,FAC-015,SKU-00447,39,301,756
2024-01-11,FAC-039,SKU-01263,3984,949,2848
2025-07-09,FAC-002,SKU-01340,688,70,1475
2024-02-05,FAC-100,SKU-02801,2119,643,921
2024-11-29,FAC-051,SKU-01840,3908,75,326
2023-05-20,FAC-034,SKU-02560,3125,838,719
2025-10-14,FAC-098,SKU-00740,232,173,1970
2025-02-13,FAC-065,SKU-02131,2350,846,932
2023-09-01,FAC-081,SKU-01264,3791,837,906
2025-04-11,FAC-032,SKU-02842,3103,912,2463
2024-10-31,FAC-100,SKU-02829,3303,464,3396
2023-08-07,FAC-069,SKU-01253,4274,235,833
2025-08-17,FAC-024,SKU-02368,4972,259,3833
2025-09-02,FAC-081,SKU-02502,3698,902,1164
2024-07-10,FAC-056,SKU-00858,3874,867,4870
2023-06-10,FAC-072,SKU-02855,2511,326,34
2024-03-16,FAC-013,SKU-02521,3687,677,2322
2023-04-30,FAC-056,SKU-01879,2749,35,4705
2025-10-29,FAC-004,SKU-00459,4259,361,4769
2024-02-22,FAC-082,SKU-00582,4400,439,3013
2023-05-13,FAC-090,SKU-02723,2372,992,1753
2023-02-25,FAC-054,SKU-02999,110,22,3990
2025-04-26,FAC-050,SKU-02898,4036,219,190
2024-01-07,FAC-053,SKU-01776,2735,27,1289
2024-10-04,FAC-022,SKU-01905,895,544,1827
2023-09-08,FAC-044,SKU-02218,3254,725,3037
2025-04-04,FAC-079,SKU-02117,871,550,4710
2025-07-24,FAC-066,SKU-00354,3338,533,2035
2025-04-23,FAC-029,SKU-01550,4938,188,2976
2025-05-11,FAC-073,SKU-01515,490,451,456
2023-05-15,FAC-021,SKU-00715,4784,855,638
2023-06-21,FAC-042,SKU-01258,3035,698,1696
2024-08-12,FAC-066,SKU-01818,1035,503,2934
2025-02-05,FAC-098,SKU-00793,3757,207,70
2023-02-27,FAC-017,SKU-01533,3614,241,1992
2023-03-16,FAC-084,SKU-02135,2343,621,4284
2025-01-17,FAC-034,SKU-00799,2653,60,2959
2025-07-28,FAC-090,SKU-02780,1363,652,4287
2024-09-07,FAC-015,SKU-00983,3354,718,187
2025-04-19,FAC-033,SKU-00535,4248,224,3597
2024-03-14,FAC-069,SKU-01901,353,477,4525
2023-04-22,FAC-031,SKU-02890,2082,951,2012
2024-06-21,FAC-009,SKU-02851,3573,726,4004
2023-11-22,FAC-008,SKU-01121,179,873,4581
2024-10-31,FAC-030,SKU-01232,1726,954,3282
2025-05-28,FAC-012,SKU-02147,3911,817,2949
2024-03-29,FAC-022,SKU-01898,4754,196,3652
2024-03-25,FAC-098,SKU-01948,3729,166,2314
2024-07-25,FAC-090,SKU-00466,719,481,4294
2023-02-02,FAC-076,SKU-00211,978,168,3209
2024-12-12,FAC-087,SKU-00620,3150,376,3943
2023-04-04,FAC-046,SKU-00635,846,196,2016
2023-04-14,FAC-031,SKU-02074,3356,570,634
2024-03-02,FAC-012,SKU-00340,1296,700,2250
2024-05-26,FAC-033,SKU-02074,167,177,4689
2024-11-04,FAC-073,SKU-00842,74,747,1922
2023-06-16,FAC-051,SKU-01227,3749,182,1330
2023-01-03,FAC-036,SKU-00745,2952,387,4185
2025-08-11,FAC-048,SKU-02778,3446,783,1426
2023-08-09,FAC-041,SKU-00501,4051,202,3850
2025-11-17,FAC-030,SKU-00960,2735,498,580
2024-05-06,FAC-076,SKU-00812,4152,154,536
2024-07-09,FAC-064,SKU-02868,1440,918,2220
2023-05-11,FAC-028,SKU-02928,2831,630,3126
2024-03-20,FAC-072,SKU-02812,4868,480,191
2024-10-19,FAC-040,SKU-00985,3508,598,2649
2023-07-04,FAC-049,SKU-02014,1086,524,1666
2025-07-31,FAC-002,SKU-01296,3824,633,35
2025-04-07,FAC-047,SKU-00433,1079,836,119
2023-12-21,FAC-075,SKU-02246,700,479,2528
2025-02-20,FAC-061,SKU-01795,4363,566,3667
2025-08-20,FAC-009,SKU-02639,912,487,4690
2023-01-07,FAC-050,SKU-02386,4953,713,3111
2023-03-06,FAC-062,SKU-02752,4267,206,1348
2024-08-18,FAC-044,SKU-00981,3995,78,799
2025-09-17,FAC-029,SKU-00685,726,827,4849
2023-02-02,FAC-099,SKU-00898,2323,214,2477
2025-05-08,FAC-083,SKU-00057,4432,428,4743
2024-05-04,FAC-080,SKU-01975,2483,313,610
2024-07-06,FAC-035,SKU-00531,3071,319,4139
2023-12-15,FAC-082,SKU-00137,4558,161,3568
2024-02-06,FAC-062,SKU-00656,4072,643,4291
2023-01-22,FAC-038,SKU-00408,214,76,2849
2025-02-27,FAC-063,SKU-02147,3700,476,2162
2023-11-25,FAC-093,SKU-00293,2509,328,4314
2024-06-20,FAC-077,SKU-03000,359,68,3057
2025-08-25,FAC-038,SKU-00015,4973,907,4308
2024-12-25,FAC-042,SKU-01819,4378,737,4312
2025-02-11,FAC-076,SKU-00502,294,691,215
2024-05-07,FAC-096,SKU-02102,4458,775,326
2023-01-30,FAC-077,SKU-02395,830,467,4715
2024-11-16,FAC-029,SKU-02078,491,783,3259
2025-06-23,FAC-040,SKU-01038,4170,471,1704
2023-12-19,FAC-099,SKU-00659,3877,147,4175
2024-07-23,FAC-024,SKU-01171,362,839,4089
2024-09-09,FAC-031,SKU-02692,3808,284,4238
2025-05-14,FAC-037,SKU-02541,2738,786,3105
2024-04-22,FAC-091,SKU-01889,79,947,2801
2025-03-10,FAC-044,SKU-00800,1264,937,1476
2023-05-08,FAC-074,SKU-00376,2259,216,3923
2023-12-17,FAC-099,SKU-02268,4486,548,2021
2024-03-29,FAC-086,SKU-00620,3148,578,1060
2024-06-15,FAC-032,SKU-02588,3106,126,3573
2025-08-01,FAC-014,SKU-00488,1603,658,1160
2025-02-06,FAC-035,SKU-02612,2856,563,633
2023-08-16,FAC-011,SKU-00576,2650,574,2084
2024-10-15,FAC-097,SKU-00474,1951,353,904
2024-06-01,FAC-029,SKU-01272,1981,390,1938
2023-08-01,FAC-083,SKU-00646,3591,566,1894
2024-01-23,FAC-076,SKU-02887,1333,8,4043
2024-03-21,FAC-054,SKU-02971,2647,519,3135
2023-12-06,FAC-018,SKU-01947,974,210,2699
2025-08-18,FAC-074,SKU-02104,666,100,4623
2025-07-16,FAC-016,SKU-02287,2828,455,3688
2023-10-12,FAC-089,SKU-00322,2692,46,2434
2025-09-08,FAC-049,SKU-01972,3045,279,2695
2024-07-24,FAC-054,SKU-00893,326,321,81
2024-04-24,FAC-010,SKU-00574,3492,28,4681
2024-01-30,FAC-072,SKU-02931,4730,395,1243
2025-08-12,FAC-010,SKU-02672,1453,48,4854
2025-11-04,FAC-028,SKU-01804,4697,623,4850
2023-11-25,FAC-069,SKU-01005,750,708,316
2023-07-09,FAC-077,SKU-01291,2233,320,960
2025-01-08,FAC-064,SKU-02188,3666,76,2269
2024-05-12,FAC-018,SKU-01720,4169,102,4473
2023-03-02,FAC-027,SKU-00446,695,7,4718
2025-02-28,FAC-016,SKU-02266,4969,634,232
2023-10-20,FAC-073,SKU-00342,3693,821,3853
2023-06-13,FAC-051,SKU-02466,1251,786,3312
2023-08-08,FAC-093,SKU-01576,1285,749,4823
2024-11-04,FAC-002,SKU-02744,3022,923,3411
2023-09-18,FAC-009,SKU-02956,3159,521,2848
2023-12-03,FAC-069,SKU-01580,3869,688,2507
2023-02-17,FAC-066,SKU-02698,1032,817,2679
2025-08-28,FAC-012,SKU-01816,4160,865,4980
2024-11-23,FAC-079,SKU-02486,4913,585,2372
2024-08-22,FAC-081,SKU-02507,825,529,3599
2023-03-19,FAC-027,SKU-02078,1669,9,4904
2024-09-04,FAC-080,SKU-00078,4814,980,2413
2025-05-27,FAC-087,SKU-02790,1018,577,90
2023-08-14,FAC-057,SKU-02818,3398,8,4109
2024-02-04,FAC-040,SKU-00706,346,638,28
2023-09-30,FAC-006,SKU-02478,905,751,4230
2024-11-21,FAC-016,SKU-01228,3679,549,427
2025-05-26,FAC-009,SKU-00942,739,646,2612
2023-04-19,FAC-034,SKU-02886,1997,770,2529
2025-06-17,FAC-002,SKU-00647,1318,665,2377
2023-07-15,FAC-080,SKU-02110,3387,390,2606
2025-10-30,FAC-026,SKU-00936,3631,115,3471
2024-05-17,FAC-006,SKU-02533,2305,39,4142
2023-06-16,FAC-028,SKU-02928,663,600,4863
2024-07-22,FAC-008,SKU-01330,1033,356,420
2024-06-06,FAC-050,SKU-00219,4285,610,790
2025-10-12,FAC-001,SKU-01680,417,685,4087
2025-04-11,FAC-052,SKU-00951,2009,794,4607
2025-09-11,FAC-051,SKU-01497,677,997,1982
2023-10-03,FAC-084,SKU-02965,2997,738,2945
2025-03-27,FAC-096,SKU-00225,596,117,341
2023-06-08,FAC-004,SKU-00747,2072,70,2025
2024-05-12,FAC-031,SKU-01587,3243,677,771
2024-07-18,FAC-021,SKU-01182,427,659,4192
2024-06-24,FAC-081,SKU-01383,2903,726,3069
2025-01-10,FAC-062,SKU-01839,4553,881,3221
2023-07-25,FAC-063,SKU-02437,4642,476,696
2023-01-09,FAC-077,SKU-01182,4027,948,1739
2024-08-19,FAC-002,SKU-02280,1365,437,1939
2025-09-09,FAC-040,SKU-02172,365,853,2216
2023-10-10,FAC-070,SKU-00797,4014,148,3862
2025-04-23,FAC-080,SKU-02946,1503,233,1490
2023-04-05,FAC-080,SKU-00716,4239,68,4384
2025-01-09,FAC-069,SKU-01501,3966,167,2500
2023-12-13,FAC-078,SKU-00168,1501,436,3518
2025-02-27,FAC-041,SKU-01305,163,430,1332
2024-08-26,FAC-015,SKU-00702,580,239,4466
2023-08-09,FAC-092,SKU-02709,2906,746,788
2023-04-19,FAC-027,SKU-00161,4237,565,831
2024-05-02,FAC-003,SKU-02128,1124,969,3359
2023-09-22,FAC-030,SKU-00962,3859,32,3263
2024-02-05,FAC-062,SKU-02130,1563,704,3496
2025-02-10,FAC-056,SKU-01515,3455,496,4562
2025-11-24,FAC-062,SKU-00663,261,867,405
2023-09-10,FAC-062,SKU-01403,789,847,1123
2025-03-12,FAC-057,SKU-01500,4348,210,3224
2024-07-14,FAC-080,SKU-01282,1159,68,3555
2023-04-23,FAC-021,SKU-01016,1664,662,2124
2023-08-27,FAC-001,SKU-01226,2364,53,2143
2025-06-11,FAC-014,SKU-02812,2726,770,2289
2025-10-27,FAC-057,SKU-01214,4688,941,3090
2025-07-29,FAC-044,SKU-02415,520,817,2783
2025-11-09,FAC-001,SKU-00118,2198,273,1073
2025-11-12,FAC-027,SKU-00539,482,770,3735
2024-02-16,FAC-071,SKU-02165,4327,361,3132
