transaction_id,store_id,sku_id,transaction_timestamp,quantity,unit_price,payment_method,promo_code
TX-000060,STORE-0154,SKU-01101,2024-05-12 06:05:11,6,422.0,ONLINE,SPRING20
TX-000061,STORE-0048,SKU-00978,2024-12-24 08:00:03,5,141.18,CARD,
TX-000062,STORE-0020,SKU-02377,2025-04-07 11:22:01,8,203.59,CASH,
TX-000063,STORE-0135,SKU-02423,2025-07-05 02:20:50,9,470.26,ONLINE,
TX-000064,STORE-0031,SKU-01786,2023-01-16 22:17:01,7,128.97,CASH,
TX-000065,STORE-0097,SKU-02388,2024-09-18 15:10:30,6,268.6,CARD,
TX-000066,STORE-0153,SKU-00644,2024-10-14 19:46:44,6,15.93,CARD,
TX-000067,STORE-0121,SKU-02588,2025-11-08 17:37:23,1,311.77,CASH,
TX-000068,STORE-0124,SKU-02006,2023-09-22 02:43:32,5,465.39,CARD,HOLIDAY10
TX-000069,STORE-0086,SKU-00488,2024-06-01 03:04:05,8,442.95,CARD,
TX-000070,STORE-0035,SKU-01827,2025-06-06 19:21:49,6,253.47,CASH,
TX-000071,STORE-0196,SKU-01785,2025-10-15 03:59:07,1,326.57,CASH,
TX-000072,STORE-0168,SKU-02370,2024-05-28 08:27:19,5,287.05,ONLINE,
TX-000073,STORE-0096,SKU-00808,2025-03-14 21:18:02,5,38.15,ONLINE,
TX-000074,STORE-0162,SKU-01053,2023-08-15 03:48:33,3,83.57,CASH,
TX-000075,STORE-0115,SKU-00890,2025-10-09 15:17:01,8,482.09,CARD,HOLIDAY10
TX-000076,STORE-0073,SKU-00460,2023-05-14 23:46:38,9,131.7,CARD,
TX-000077,STORE-0102,SKU-01960,2024-02-03 12:17:27,6,195.3,CASH,
TX-000078,STORE-0068,SKU-01509,2023-11-17 09:23:03,6,256.93,CASH,
TX-000079,STORE-0022,SKU-00584,2023-03-09 06:49:25,2,489.67,CASH,
TX-000080,STORE-0092,SKU-00921,2025-02-24 03:42:17,2,346.55,CARD,
TX-000081,STORE-0120,SKU-00131,2024-11-10 00:03:45,6,316.65,ONLINE,
TX-000082,STORE-0065,SKU-00824,2024-08-22 18:23:23,8,264.58,ONLINE,
TX-000083,STORE-0139,SKU-02978,2025-05-31 00:27:14,2,351.83,CARD,
TX-000084,STORE-0004,SKU-01520,2023-12-15 00:36:03,9,333.69,ONLINE,
TX-000085,STORE-0129,SKU-02744,2024-04-17 11:25:15,9,451.91,CASH,
TX-000086,STORE-0099,SKU-00629,2023-05-26 09:36:56,4,273.21,CASH,
TX-000087,STORE-0099,SKU-01706,2025-01-25 20:30:03,4,213.64,CARD,
TX-000088,STORE-0050,SKU-02851,2024-03-01 06:41:32,4,404.55,CARD,
TX-000089,STORE-0022,SKU-00033,2023-08-10 11:51:00,5,400.89,CASH,HOLIDAY10
TX-000090,STORE-0111,SKU-00762,2024-12-20 15:31:13,8,89.07,CASH,
TX-000091,STORE-0184,SKU-01122,2025-06-08 13:29:14,2,122.21,CARD,
TX-000092,STORE-0074,SKU-02063,2025-01-31 16:34:55,5,479.53,CARD,
TX-000093,STORE-0136,SKU-01765,2025-06-18 15:13:46,2,224.83,CASH,SPRING20
TX-000094,STORE-0161,SKU-02482,2023-09-19 16:31:17,8,262.23,CASH,
TX-000095,STORE-0193,SKU-01564,2024-07-05 21:09:43,1,158.53,ONLINE,
TX-000096,STORE-0155,SKU-01665,2023-06-10 09:15:55,7,243.13,ONLINE,
TX-000097,STORE-0171,SKU-00977,2025-08-16 15:06:31,3,372.96,CASH,
TX-000098,STORE-0094,SKU-02707,2025-05-08 03:14:03,4,243.76,CARD,
TX-000099,STORE-0157,SKU-01421,2024-10-03 09:38:35,8,160.82,ONLINE,
TX-000100,STORE-0059,SKU-02034,2023-10-11 08:04:59,3,52.52,ONLINE,
TX-000101,STORE-0088,SKU-00802,2024-12-21 17:25:39,7,464.49,CASH,
TX-000102,STORE-0060,SKU-01276,2025-05-13 02:27:52,1,436.47,CARD,SPRING20
TX-000103,STORE-0105,SKU-01716,2024-10-12 09:29:55,9,396.73,CARD,
TX-000104,STORE-0032,SKU-00585,2023-10-03 06:07:02,6,348.57,CASH,
TX-000105,STORE-0015,SKU-00958,2025-06-30 03:10:18,3,260.18,CARD,
TX-000106,STORE-0064,SKU-00753,2023-05-24 00:55:31,7,449.21,CASH,HOLIDAY10
TX-000107,STORE-0137,SKU-02760,2024-05-26 16:06:40,5,396.89,CARD,
TX-000108,STORE-0114,SKU-00354,2025-04-17 11:34:46,8,408.93,CASH,
TX-000109,STORE-0078,SKU-01623,2023-04-17 20:45:34,8,158.23,CARD,
TX-000110,STORE-0141,SKU-02165,2024-03-25 03:02:05,9,214.61,CASH,HOLIDAY10
TX-000111,STORE-0116,SKU-00694,2025-02-08 00:37:11,6,354.87,CASH,
TX-000112,STORE-0026,SKU-01181,2024-04-15 07:26:07,4,188.68,CARD,
TX-000113,STORE-0100,SKU-00401,2024-05-09 18:29:55,2,249.52,CASH,
TX-000114,STORE-0066,SKU-02392,2024-12-16 04:24:08,3,325.02,ONLINE,
TX-000115,STORE-0077,SKU-01806,2024-01-19 03:15:46,5,221.69,CARD,
TX-000116,STORE-0089,SKU-01349,2025-01-20 22:01:01,8,397.55,CASH,
TX-000117,STORE-0103,SKU-01022,2024-02-03 19:20:11,2,62.56,CARD,
TX-000118,STORE-0174,SKU-00872,2024-03-17 06:08:03,5,360.44,CARD,SPRING20
TX-000119,STORE-0158,SKU-00561,2023-09-06 08:35:05,9,76.88,CASH,
TX-000120,STORE-0008,SKU-02286,2024-11-29 00:24:06,2,469.23,ONLINE,
TX-000121,STORE-0037,SKU-01144,2024-07-01 04:17:43,8,160.45,CARD,
TX-000122,STORE-0015,SKU-00135,2023-04-22 05:37:55,3,398.74,ONLINE,
TX-000123,STORE-0011,SKU-02399,2023-11-13 18:27:10,8,263.1,ONLINE,
TX-000124,STORE-0085,SKU-00907,2023-06-17 16:33:12,4,50.09,CASH,
TX-000125,STORE-0054,SKU-02467,2023-02-20 03:42:00,4,293.38,CASH,
TX-000126,STORE-0063,SKU-02975,2023-05-28 10:28:24,7,456.53,CARD,
TX-000127,STORE-0030,SKU-01054,2023-01-19 21:01:09,5,82.83,CASH,
TX-000128,STORE-0109,SKU-00588,2023-06-23 19:56:52,4,164.05,CARD,
TX-000129,STORE-0073,SKU-00997,2023-03-27 11:07:34,7,222.38,CARD,
TX-000130,STORE-0003,SKU-01490,2023-01-23 10:23:14,3,141.15,ONLINE,
TX-000131,STORE-0178,SKU-00121,2025-01-04 06:49:09,9,472.17,CASH,
TX-000132,STORE-0014,SKU-00861,2023-06-26 12:27:32,5,191.86,CASH,
TX-000133,STORE-0120,SKU-00941,2024-10-10 02:39:38,3,330.74,CARD,HOLIDAY10
TX-000134,STORE-0147,SKU-00772,2023-12-07 01:10:30,2,115.84,ONLINE,
TX-000135,STORE-0182,SKU-01729,2023-05-04 05:22:01,7,113.75,CASH,HOLIDAY10
TX-000136,STORE-0099,SKU-01335,2023-12-20 13:44:56,7,92.05,ONLINE,HOLIDAY10
TX-000137,STORE-0095,SKU-01670,2023-04-23 06:53:22,5,220.23,ONLINE,
TX-000138,STORE-0132,SKU-01128,2023-06-30 09:48:59,4,268.76,CARD,
TX-000139,STORE-0145,SKU-00368,2023-11-03 08:38:44,2,10.32,CASH,
TX-000140,STORE-0017,SKU-02215,2024-06-24 23:04:21,2,417.3,CASH,HOLIDAY10
TX-000141,STORE-0075,SKU-00510,2024-10-08 21:30:43,7,258.81,CASH,
TX-000142,STORE-0145,SKU-01574,2024-12-11 23:42:39,7,82.82,ONLINE,
TX-000143,STORE-0115,SKU-00631,2024-12-13 14:07:58,4,38.31,CASH,
TX-000144,STORE-0101,SKU-00849,2025-01-02 15:16:06,4,36.28,CARD,
TX-000145,STORE-0094,SKU-00021,2023-04-08 05:19:32,4,132.53,ONLINE,
TX-000146,STORE-0176,SKU-02436,2023-04-24 06:02:38,2,252.15,CASH,SPRING20
TX-000147,STORE-0021,SKU-00677,2023-12-22 22:16:56,9,430.82,ONLINE,SPRING20
TX-000148,STORE-0145,SKU-01851,2023-12-16 11:05:22,1,451.97,ONLINE,
TX-000149,STORE-0001,SKU-00168,2025-10-23 13:17:17,8,417.0,ONLINE,
TX-000150,STORE-0183,SKU-02041,2023-07-26 05:19:10,6,167.64,CARD,
TX-000151,STORE-0026,SKU-02094,2023-03-31 16:21:35,7,156.75,CASH,
TX-000152,STORE-0123,SKU-02603,2024-02-07 17:00:01,5,493.79,CASH,HOLIDAY10
TX-000153,STORE-0071,SKU-02771,2023-08-25 03:27:17,6,342.23,ONLINE,
TX-000154,STORE-0148,SKU-02675,2025-05-20 20:57:20,6,155.95,CASH,
TX-000155,STORE-0154,SKU-01590,2024-11-17 10:42:48,9,167.89,ONLINE,
TX-000156,STORE-0164,SKU-02177,2023-01-15 03:43:16,4,220.15,ONLINE,SPRING20
TX-000157,STORE-0057,SKU-02443,2023-12-24 04:08:15,5,312.79,ONLINE,
TX-000158,STORE-0133,SKU-00333,2025-06-07 21:28:46,4,449.5,CARD,
TX-000159,STORE-0049,SKU-00177,2024-08-22 15:22:35,1,103.16,CASH,
TX-000160,STORE-0119,SKU-02800,2025-10-15 08:29:56,6,46.78,ONLINE,SPRING20
TX-000161,STORE-0150,SKU-00043,2024-08-06 14:53:29,5,205.85,CASH,
TX-000162,STORE-0115,SKU-02294,2024-01-21 03:49:23,4,126.5,CARD,SPRING20
TX-000163,STORE-0129,SKU-01903,2023-12-29 23:39:47,6,290.14,CARD,
TX-000164,STORE-0089,SKU-00656,2023-08-25 06:42:51,5,351.11,ONLINE,
TX-000165,STORE-0122,SKU-02472,2024-09-11 05:03:53,3,158.81,CARD,
TX-000166,STORE-0175,SKU-00737,2024-09-29 13:32:53,2,344.3,CARD,
TX-000167,STORE-0008,SKU-01054,2023-08-09 16:00:26,6,174.86,CARD,
TX-000168,STORE-0129,SKU-00547,2023-01-29 03:06:08,4,319.31,CARD,SPRING20
TX-000169,STORE-0067,SKU-02370,2024-07-30 04:59:23,3,318.37,CARD,
TX-000170,STORE-0124,SKU-02356,2023-08-13 16:35:14,8,142.69,CARD,SPRING20
TX-000171,STORE-0015,SKU-02387,2024-07-23 08:51:22,9,319.68,CASH,HOLIDAY10
TX-000172,STORE-0113,SKU-02926,2024-08-12 18:39:46,7,193.57,CARD,
TX-000173,STORE-0146,SKU-00195,2023-08-26 23:48:20,2,171.55,CASH,
TX-000174,STORE-0115,SKU-01554,2023-07-17 09:41:22,8,148.2,ONLINE,
TX-000175,STORE-0116,SKU-00824,2025-06-16 16:35:07,5,176.09,CARD,
TX-000176,STORE-0184,SKU-02974,2024-09-09 13:37:01,7,394.44,CARD,
TX-000177,STORE-0015,SKU-02341,2024-06-01 10:09:07,5,126.36,CASH,
TX-000178,STORE-0007,SKU-01719,2023-05-05 11:33:43,2,342.58,CARD,
TX-000179,STORE-0076,SKU-02004,2024-06-09 07:35:50,4,450.81,CASH,SPRING20
TX-000180,STORE-0038,SKU-01854,2024-01-03 17:55:38,5,178.46,CASH,
TX-000181,STORE-0091,SKU-00918,2025-10-09 03:02:59,6,19.61,CARD,
TX-000182,STORE-0172,SKU-02450,2025-08-13 21:43:07,5,17.18,ONLINE,
TX-000183,STORE-0040,SKU-00727,2025-01-24 21:40:27,1,74.05,ONLINE,
TX-000184,STORE-0119,SKU-02660,2023-08-08 12:42:36,1,59.47,ONLINE,
TX-000185,STORE-0189,SKU-00914,2025-03-06 05:52:29,3,375.3,CASH,SPRING20
TX-000186,STORE-0098,SKU-02676,2023-04-03 22:33:46,9,150.95,CASH,HOLIDAY10
TX-000187,STORE-0159,SKU-00749,2024-10-15 08:54:52,2,327.99,CARD,SPRING20
TX-000188,STORE-0096,SKU-02623,2025-10-12 02:26:00,5,26.02,CASH,
TX-000189,STORE-0150,SKU-01369,2023-05-23 02:36:16,9,151.39,ONLINE,
TX-000190,STORE-0179,SKU-00481,2024-06-30 23:56:47,7,120.9,CARD,HOLIDAY10
TX-000191,STORE-0198,SKU-00507,2025-06-05 19:30:12,8,142.06,ONLINE,SPRING20
TX-000192,STORE-0083,SKU-00687,2023-06-14 19:54:10,2,99.41,CARD,
TX-000193,STORE-0060,SKU-01700,2024-08-20 19:22:58,5,310.87,ONLINE,
TX-000194,STORE-0188,SKU-02065,2025-05-19 22:46:18,9,333.02,CARD,
TX-000195,STORE-0075,SKU-02770,2024-10-18 04:27:56,1,78.49,ONLINE,
TX-000196,STORE-0168,SKU-00873,2024-10-05 16:32:59,1,371.87,CASH,
TX-000197,STORE-0181,SKU-00986,2023-06-27 09:39:47,8,128.77,ONLINE,
TX-000198,STORE-0032,SKU-00380,2023-07-17 09:16:38,2,145.05,CARD,
TX-000199,STORE-0014,SKU-01819,2025-04-10 10:02:05,9,415.26,ONLINE,
TX-000200,STORE-0120,SKU-02866,2024-06-29 10:22:38,9,451.08,CASH,
TX-000201,STORE-0198,SKU-01156,2025-11-01 06:58:42,4,413.25,CARD,
TX-000202,STORE-0073,SKU-00938,2024-07-30 19:13:45,2,78.14,CASH,
TX-000203,STORE-0079,SKU-00181,2025-11-26 06:14:15,3,499.64,ONLINE,
TX-000204,STORE-0058,SKU-00355,2023-04-01 10:31:33,1,337.72,CARD,
TX-000205,STORE-0014,SKU-01999,2023-09-07 18:56:10,3,257.78,ONLINE,
TX-000206,STORE-0050,SKU-00299,2025-05-27 17:23:50,5,477.65,CARD,
TX-000207,STORE-0164,SKU-02331,2024-03-27 00:39:16,3,409.6,CASH,
TX-000208,STORE-0045,SKU-02443,2023-02-28 12:22:25,3,347.41,CASH,
TX-000209,STORE-0006,SKU-02950,2024-10-05 01:23:32,6,420.01,CASH,SPRING20
TX-000210,STORE-0142,SKU-00286,2023-08-24 13:58:37,3,195.81,ONLINE,
TX-000211,STORE-0030,SKU-00182,2025-09-05 17:08:42,3,343.8,CARD,SPRING20
TX-000212,STORE-0187,SKU-01668,2025-02-21 13:07:53,9,99.34,CASH,
TX-000213,STORE-0067,SKU-01320,2025-08-02 18:09:42,2,494.06,ONLINE,
TX-000214,STORE-0008,SKU-00264,2025-03-29 00:21:58,1,296.55,ONLINE,SPRING20
TX-000215,STORE-0022,SKU-02859,2023-08-06 20:54:09,8,408.05,CARD,HOLIDAY10
TX-000216,STORE-0133,SKU-01925,2024-02-16 13:21:59,3,206.63,CASH,
TX-000217,STORE-0072,SKU-02991,2023-02-21 19:21:39,7,380.5,ONLINE,
TX-000218,STORE-0029,SKU-01239,2024-02-21 04:25:24,2,196.76,CASH,
TX-000219,STORE-0143,SKU-01395,2023-08-23 07:22:11,8,297.05,CARD,
TX-000220,STORE-0103,SKU-02267,2024-07-31 03:18:55,9,390.18,CASH,
TX-000221,STORE-0182,SKU-00165,2023-06-16 02:01:57,8,62.65,CASH,HOLIDAY10
TX-000222,STORE-0078,SKU-02520,2024-04-20 21:56:28,8,181.61,ONLINE,
TX-000223,STORE-0048,SKU-02493,2025-07-30 21:27:34,8,274.74,ONLINE,HOLIDAY10
TX-000224,STORE-0037,SKU-01928,2025-01-27 08:39:55,7,170.33,CARD,
TX-000225,STORE-0052,SKU-01229,2024-02-17 05:28:18,2,158.04,CARD,
TX-000226,STORE-0095,SKU-00346,2024-09-27 05:56:56,8,144.42,CARD,
TX-000227,STORE-0151,SKU-01735,2023-11-19 21:35:45,5,117.76,ONLINE,
TX-000228,STORE-0110,SKU-01162,2024-02-18 06:09:09,6,425.21,CARD,SPRING20
TX-000229,STORE-0007,SKU-02500,2025-06-09 17:21:09,4,462.23,CARD,
TX-000230,STORE-0089,SKU-00719,2024-12-07 14:54:06,1,351.58,ONLINE,
TX-000231,STORE-0053,SKU-01839,2024-05-01 07:23:02,5,19.85,CARD,SPRING20
TX-000232,STORE-0178,SKU-00930,2023-12-24 11:53:23,3,394.19,ONLINE,HOLIDAY10
TX-000233,STORE-0172,SKU-00099,2024-05-24 17:57:28,9,268.31,CARD,
TX-000234,STORE-0178,SKU-01402,2024-01-13 05:30:22,4,380.26,ONLINE,
TX-000235,STORE-0145,SKU-01410,2024-12-11 04:11:26,2,221.48,CASH,
TX-000236,STORE-0108,SKU-02394,2024-03-15 12:29:03,4,25.43,ONLINE,
TX-000237,STORE-0198,SKU-00861,2025-05-31 16:40:38,3,342.46,ONLINE,
TX-000238,STORE-0177,SKU-00472,2024-05-29 23:25:44,3,224.84,ONLINE,
TX-000239,STORE-0041,SKU-02513,2023-07-14 23:37:40,5,437.65,CARD,HOLIDAY10
TX-000240,STORE-0077,SKU-01176,2024-08-01 18:29:54,1,370.38,ONLINE,
TX-000241,STORE-0132,SKU-00518,2023-10-17 17:32:06,5,182.98,ONLINE,HOLIDAY10
TX-000242,STORE-0160,SKU-01684,2025-10-09 22:46:25,8,363.42,CARD,
TX-000243,STORE-0126,SKU-00231,2024-06-13 17:57:30,9,250.13,CASH,
TX-000244,STORE-0083,SKU-02593,2024-10-31 09:27:02,1,103.72,ONLINE,
TX-000245,STORE-0074,SKU-00600,2023-01-20 22:31:07,2,212.84,CARD,
TX-000246,STORE-0132,SKU-00425,2025-03-05 18:11:49,2,115.17,CASH,
TX-000247,STORE-0043,SKU-02266,2025-03-06 17:53:13,6,7.46,ONLINE,
TX-000248,STORE-0158,SKU-00387,2024-04-01 16:33:59,1,127.16,CASH,
TX-000249,STORE-0075,SKU-02974,2025-01-28 22:06:52,1,108.71,ONLINE,
TX-000250,STORE-0133,SKU-00733,2025-11-29 17:38:41,2,7.15,ONLINE,
TX-000251,STORE-0113,SKU-02415,2025-10-20 15:59:12,4,393.04,CASH,
TX-000252,STORE-0029,SKU-02403,2023-01-05 06:15:31,2,43.11,CASH,
TX-000253,STORE-0040,SKU-01492,2025-01-25 03:49:59,4,227.28,CASH,
TX-000254,STORE-0107,SKU-02680,2025-10-05 20:17:53,3,211.85,ONLINE,
TX-000255,STORE-0199,SKU-01906,2023-05-15 11:56:49,3,94.8,ONLINE,SPRING20
TX-000256,STORE-0062,SKU-02107,2023-06-20 21:01:07,9,483.6,CARD,
TX-000257,STORE-0073,SKU-01455,2024-12-21 00:18:28,8,303.85,CARD,
TX-000258,STORE-0041,SKU-02254,2024-09-03 20:24:10,9,407.69,CARD,
TX-000259,STORE-0196,SKU-02514,2023-11-20 11:33:04,1,250.59,ONLINE,
TX-000260,STORE-0108,SKU-00024,2023-11-15 13:30:42,5,362.79,CASH,
TX-000261,STORE-0118,SKU-00148,2024-11-03 20:56:23,4,485.04,CARD,
TX-000262,STORE-0038,SKU-02798,2024-08-11 05:49:40,9,177.46,ONLINE,HOLIDAY10
TX-000263,STORE-0069,SKU-00307,2023-06-06 08:34:40,3,254.61,CASH,
TX-000264,STORE-0055,SKU-01728,2025-05-08 18:06:21,5,259.7,CARD,
TX-000265,STORE-0123,SKU-01854,2025-10-16 14:47:29,8,496.04,CASH,
TX-000266,STORE-0024,SKU-02298,2025-10-09 21:33:23,5,120.38,CASH,SPRING20
TX-000267,STORE-0170,SKU-00066,2023-04-11 18:05:37,9,339.28,CARD,
TX-000268,STORE-0075,SKU-01802,2024-07-25 20:46:24,2,73.42,CARD,
TX-000269,STORE-0008,SKU-00839,2023-04-13 18:46:17,6,463.9,ONLINE,
TX-000270,STORE-0131,SKU-02490,2024-06-06 09:31:53,5,297.24,CASH,
TX-000271,STORE-0048,SKU-01388,2025-07-02 01:34:36,9,430.41,CARD,
TX-000272,STORE-0143,SKU-01642,2024-04-02 15:13:53,7,448.14,CARD,
TX-000273,STORE-0182,SKU-02596,2025-01-13 06:08:16,8,280.77,CASH,
TX-000274,STORE-0105,SKU-00600,2023-08-14 03:31:54,7,342.59,CASH,
TX-000275,STORE-0103,SKU-00920,2025-05-01 06:57:42,5,350.87,CASH,SPRING20
TX-000276,STORE-0063,SKU-02217,2024-02-16 19:33:22,5,232.94,CARD,
TX-000277,STORE-0175,SKU-00395,2023-05-20 03:22:09,4,220.24,CARD,HOLIDAY10
TX-000278,STORE-0024,SKU-00683,2023-10-08 11:06:20,2,97.16,ONLINE,
TX-000279,STORE-0142,SKU-01923,2025-06-04 16:43:17,9,195.04,CASH,
TX-000280,STORE-0152,SKU-02796,2024-05-12 12:17:45,3,495.42,CARD,
TX-000281,STORE-0042,SKU-02032,2025-03-12 19:43:52,3,138.58,CARD,
TX-000282,STORE-0150,SKU-02221,2024-07-16 23:41:33,3,382.41,CASH,
TX-000283,STORE-0002,SKU-01089,2024-05-31 16:46:35,8,34.38,CARD,
TX-000284,STORE-0027,SKU-00207,2025-11-18 01:18:44,6,236.4,CASH,
TX-000285,STORE-0083,SKU-00457,2023-11-22 00:38:43,1,33.91,CARD,
TX-000286,STORE-0200,SKU-01632,2023-02-01 00:15:59,3,240.52,CASH,
TX-000287,STORE-0065,SKU-02292,2023-02-05 03:52:06,4,18.64,CASH,
TX-000288,STORE-0076,SKU-02060,2023-04-23 01:08:58,2,308.58,CARD,HOLIDAY10
TX-000289,STORE-0008,SKU-02852,2025-06-04 10:56:52,6,295.32,CASH,
TX-000290,STORE-0018,SKU-02524,2025-05-05 00:36:21,1,399.93,ONLINE,
TX-000291,STORE-0189,SKU-01983,2023-11-22 22:26:35,1,293.73,ONLINE,
TX-000292,STORE-0077,SKU-00591,2024-09-16 10:12:51,8,463.37,CASH,
TX-000293,STORE-0004,SKU-02811,2023-10-21 23:44:36,4,392.64,ONLINE,
TX-000294,STORE-0027,SKU-01831,2024-11-11 04:43:27,1,70.66,CARD,
TX-000295,STORE-0085,SKU-01269,2024-09-03 10:11:00,7,136.41,CARD,
TX-000296,STORE-0036,SKU-02203,2023-02-13 10:45:26,9,17.98,CASH,
TX-000297,STORE-0177,SKU-01459,2023-02-21 05:27:50,7,196.14,CARD,SPRING20
TX-000298,STORE-0187,SKU-01560,2024-06-09 07:04:17,1,257.22,CARD,
TX-000299,STORE-0084,SKU-00329,2025-03-06 21:49:56,1,473.24,ONLINE,
TX-000300,STORE-0178,SKU-00904,2025-07-16 11:25:55,1,263.52,CARD,
TX-000301,STORE-0016,SKU-01592,2024-04-07 19:43:16,8,391.61,CARD,SPRING20
TX-000302,STORE-0055,SKU-01575,2024-07-24 22:09:21,7,137.67,ONLINE,
