order_item_id,order_id,sku_id,quantity,unit_price,discount_amount,tax_amount
ITEM-126890,ORD-000071,SKU-00099,3,47.76,9.34,3.93
ITEM-691916,ORD-000071,SKU-02237,6,280.9,23.89,19.42
ITEM-610398,ORD-000072,SKU-01693,2,282.03,11.61,2.95
ITEM-139686,ORD-000072,SKU-02874,7,10.54,3.0,15.76
ITEM-550045,ORD-000073,SKU-02728,5,294.86,0.44,17.61
ITEM-335051,ORD-000074,SKU-00999,8,401.61,9.43,9.5
ITEM-501990,ORD-000074,SKU-00878,2,90.35,27.65,12.54
ITEM-153210,ORD-000075,SKU-02733,3,429.63,7.27,15.21
ITEM-538323,ORD-000076,SKU-00298,10,86.54,31.35,8.27
ITEM-656014,ORD-000076,SKU-01482,4,414.85,20.32,15.05
ITEM-044994,ORD-000076,SKU-01313,7,18.69,33.58,18.62
ITEM-409759,ORD-000076,SKU-01843,10,419.0,11.24,18.15
ITEM-644765,ORD-000077,SKU-02088,7,324.79,37.77,3.15
ITEM-628075,ORD-000077,SKU-02136,5,251.08,3.75,12.0
ITEM-437589,ORD-000077,SKU-00272,9,47.0,44.58,2.91
ITEM-672557,ORD-000077,SKU-00164,6,142.31,14.04,13.0
ITEM-318240,ORD-000078,SKU-02193,10,166.91,15.41,18.97
ITEM-536284,ORD-000078,SKU-01998,7,379.92,41.98,11.79
ITEM-587400,ORD-000078,SKU-02795,10,301.67,39.29,2.75
ITEM-095408,ORD-000079,SKU-02833,8,487.74,26.64,12.33
ITEM-065992,ORD-000079,SKU-01031,5,467.41,43.74,11.89
ITEM-238910,ORD-000079,SKU-01283,6,454.07,28.3,6.97
ITEM-201166,ORD-000080,SKU-01373,9,339.67,13.93,11.96
ITEM-702216,ORD-000080,SKU-02700,4,385.32,44.53,2.79
ITEM-807309,ORD-000080,SKU-02820,5,99.03,34.3,14.25
ITEM-336743,ORD-000081,SKU-00838,8,292.97,8.67,14.49
ITEM-918706,ORD-000081,SKU-01194,4,106.84,39.5,16.61
ITEM-191972,ORD-000081,SKU-02653,8,190.62,19.58,14.34
ITEM-977781,ORD-000081,SKU-02328,8,271.02,7.32,12.12
ITEM-264803,ORD-000081,SKU-00510,7,407.49,49.19,0.07
ITEM-851435,ORD-000082,SKU-01044,8,230.11,49.54,11.67
ITEM-290552,ORD-000082,SKU-02094,10,213.14,13.29,19.63
ITEM-624188,ORD-000083,SKU-00443,8,221.4,15.66,2.79
ITEM-128888,ORD-000083,SKU-01481,1,25.31,3.51,2.15
ITEM-561222,ORD-000083,SKU-01100,3,393.02,46.29,13.73
ITEM-214846,ORD-000083,SKU-00164,10,34.64,5.57,19.54
ITEM-297993,ORD-000084,SKU-01761,4,119.09,30.92,11.41
ITEM-279693,ORD-000084,SKU-02264,6,421.18,7.59,11.07
ITEM-332103,ORD-000084,SKU-00901,3,403.83,41.26,4.06
ITEM-018288,ORD-000085,SKU-00657,2,287.76,30.71,19.48
ITEM-848876,ORD-000085,SKU-01992,2,52.36,42.27,4.42
ITEM-481828,ORD-000085,SKU-02497,3,446.48,45.88,5.59
ITEM-003323,ORD-000085,SKU-00979,5,220.42,43.04,16.99
ITEM-467839,ORD-000085,SKU-00875,4,54.68,4.1,14.25
ITEM-157691,ORD-000086,SKU-01575,10,376.59,1.15,15.3
ITEM-215094,ORD-000086,SKU-02758,8,221.14,43.76,6.85
ITEM-021723,ORD-000086,SKU-02045,9,309.74,41.91,12.13
ITEM-391079,ORD-000086,SKU-00592,2,302.47,34.95,7.55
ITEM-217193,ORD-000087,SKU-00893,6,179.87,13.71,14.3
ITEM-942096,ORD-000087,SKU-00946,7,302.22,23.49,0.49
ITEM-980697,ORD-000087,SKU-02308,4,324.51,3.23,14.26
ITEM-022943,ORD-000087,SKU-01593,10,175.87,19.05,9.82
ITEM-953353,ORD-000088,SKU-01738,2,221.49,17.41,5.38
ITEM-955881,ORD-000088,SKU-01065,8,83.26,10.96,11.71
ITEM-542292,ORD-000088,SKU-02454,9,406.02,42.3,19.58
ITEM-382282,ORD-000088,SKU-00197,4,49.54,45.79,1.85
ITEM-052498,ORD-000089,SKU-01026,2,265.0,12.76,2.98
ITEM-148515,ORD-000089,SKU-01786,5,436.15,9.3,8.19
ITEM-174723,ORD-000089,SKU-02133,2,119.75,4.61,1.04
ITEM-686421,ORD-000089,SKU-00721,5,276.23,47.1,17.9
ITEM-247722,ORD-000089,SKU-00071,4,303.3,3.85,15.46
ITEM-856991,ORD-000090,SKU-00733,9,66.45,23.13,15.22
ITEM-758340,ORD-000090,SKU-00733,3,269.16,9.34,15.74
ITEM-341289,ORD-000090,SKU-00704,5,259.06,1.04,10.09
ITEM-412936,ORD-000091,SKU-00553,3,28.93,7.8,2.65
ITEM-874806,ORD-000092,SKU-01505,10,392.66,23.12,9.1
ITEM-744709,ORD-000092,SKU-00451,4,85.23,30.3,0.85
ITEM-395759,ORD-000092,SKU-00557,1,147.17,26.44,9.8
ITEM-790898,ORD-000092,SKU-01618,9,273.03,20.19,10.5
ITEM-678800,ORD-000092,SKU-02129,6,394.26,28.87,16.75
ITEM-788143,ORD-000093,SKU-01030,9,468.75,8.34,17.16
ITEM-132373,ORD-000093,SKU-00150,4,41.34,49.74,16.84
ITEM-121149,ORD-000093,SKU-02476,7,194.37,14.98,0.48
ITEM-510889,ORD-000093,SKU-00814,1,111.71,38.75,15.01
ITEM-907225,ORD-000094,SKU-02419,3,326.29,15.1,4.89
ITEM-017174,ORD-000094,SKU-00931,8,130.2,19.96,14.26
ITEM-389617,ORD-000094,SKU-00839,8,69.55,47.98,4.91
ITEM-152608,ORD-000094,SKU-02622,2,151.23,2.66,9.3
ITEM-930136,ORD-000095,SKU-02677,7,43.67,14.7,16.42
ITEM-578402,ORD-000095,SKU-01955,1,467.32,43.43,9.59
ITEM-369605,ORD-000095,SKU-01358,4,158.62,25.34,0.22
ITEM-106224,ORD-000095,SKU-00598,9,138.46,1.23,4.37
ITEM-389302,ORD-000096,SKU-00099,8,204.69,39.93,9.21
ITEM-651976,ORD-000096,SKU-01338,5,187.14,40.06,11.71
ITEM-926452,ORD-000096,SKU-01796,8,219.54,25.7,13.33
ITEM-574609,ORD-000096,SKU-02985,10,255.44,49.93,3.07
ITEM-864775,ORD-000096,SKU-01548,6,332.01,21.99,14.45
ITEM-150945,ORD-000097,SKU-00583,4,51.13,19.19,7.89
ITEM-043927,ORD-000097,SKU-00181,5,11.0,6.65,8.37
ITEM-203072,ORD-000097,SKU-01711,3,216.32,28.41,19.81
ITEM-000595,ORD-000098,SKU-00272,3,430.13,13.28,9.65
ITEM-069300,ORD-000098,SKU-00898,8,457.99,8.28,13.45
ITEM-083855,ORD-000099,SKU-02742,8,406.79,17.14,14.56
ITEM-891913,ORD-000100,SKU-01921,5,290.64,27.4,18.03
ITEM-778161,ORD-000100,SKU-01355,6,265.72,33.39,16.71
ITEM-618429,ORD-000100,SKU-02131,5,404.06,38.91,4.91
ITEM-454950,ORD-000101,SKU-01980,5,167.44,25.44,9.98
ITEM-053778,ORD-000102,SKU-02424,5,401.83,12.88,16.48
ITEM-581975,ORD-000102,SKU-00916,4,440.97,12.44,18.1
ITEM-971036,ORD-000102,SKU-00404,9,255.39,20.63,8.0
ITEM-594095,ORD-000102,SKU-01357,5,45.16,8.12,9.62
ITEM-812611,ORD-000103,SKU-01286,1,220.63,40.75,3.08
ITEM-032082,ORD-000104,SKU-01368,6,63.52,11.78,17.58
ITEM-515754,ORD-000104,SKU-01624,10,110.94,21.51,4.7
ITEM-255052,ORD-000104,SKU-02501,3,171.38,29.9,11.87
ITEM-894644,ORD-000104,SKU-00340,2,45.64,39.81,0.17
ITEM-449360,ORD-000105,SKU-02018,2,467.52,39.68,13.95
ITEM-159266,ORD-000105,SKU-00211,1,238.25,1.63,5.83
ITEM-884558,ORD-000105,SKU-01503,6,334.7,4.38,3.3
ITEM-324815,ORD-000105,SKU-01353,2,24.28,29.14,19.76
ITEM-644207,ORD-000105,SKU-00001,4,395.82,44.85,16.48
ITEM-112763,ORD-000106,SKU-01095,10,149.26,41.84,1.43
ITEM-642502,ORD-000106,SKU-01166,3,37.15,30.31,5.2
ITEM-674721,ORD-000106,SKU-02867,9,52.58,30.32,13.78
ITEM-033590,ORD-000106,SKU-01612,6,334.18,34.75,16.21
ITEM-997935,ORD-000107,SKU-02085,5,150.36,35.28,8.02
ITEM-846166,ORD-000107,SKU-00964,5,334.8,10.53,9.23
ITEM-737395,ORD-000107,SKU-00636,1,44.33,29.38,2.35
ITEM-470727,ORD-000108,SKU-00517,3,362.77,14.12,6.65
ITEM-607409,ORD-000109,SKU-00980,8,220.49,6.13,12.89
ITEM-988366,ORD-000109,SKU-02752,9,366.04,15.13,14.18
ITEM-939094,ORD-000109,SKU-01939,1,185.28,19.54,6.9
ITEM-032904,ORD-000110,SKU-01033,7,97.35,24.88,13.17
ITEM-821795,ORD-000111,SKU-02905,6,227.56,40.79,14.91
ITEM-741747,ORD-000111,SKU-01730,6,479.24,37.58,17.36
ITEM-192899,ORD-000111,SKU-00031,3,477.37,20.79,9.74
ITEM-350808,ORD-000111,SKU-00607,1,442.69,12.0,12.08
ITEM-951381,ORD-000112,SKU-00829,3,211.85,38.54,12.63
ITEM-745921,ORD-000112,SKU-01405,10,189.65,0.14,9.66
ITEM-864367,ORD-000112,SKU-02053,4,109.48,16.63,13.17
ITEM-286729,ORD-000113,SKU-02175,7,445.35,49.68,12.25
ITEM-641964,ORD-000113,SKU-00806,7,386.01,36.56,0.79
ITEM-754039,ORD-000113,SKU-02421,9,148.65,49.84,9.13
ITEM-298305,ORD-000113,SKU-01363,1,206.63,31.35,15.84
ITEM-497568,ORD-000113,SKU-01710,8,457.48,30.44,4.62
ITEM-875354,ORD-000114,SKU-02421,4,227.39,15.01,13.04
ITEM-040591,ORD-000114,SKU-00940,10,130.8,13.27,10.61
ITEM-042514,ORD-000114,SKU-00909,8,123.3,0.11,0.96
ITEM-841369,ORD-000115,SKU-01121,9,408.14,27.33,8.34
ITEM-910737,ORD-000116,SKU-02622,5,385.61,33.17,9.93
ITEM-608359,ORD-000116,SKU-00875,9,332.34,14.38,2.32
ITEM-246241,ORD-000116,SKU-01594,9,364.23,8.86,13.12
ITEM-014902,ORD-000116,SKU-02807,7,44.44,32.34,18.93
ITEM-021696,ORD-000116,SKU-00408,3,465.89,36.55,3.38
ITEM-704445,ORD-000117,SKU-01054,7,85.12,21.32,14.58
ITEM-378987,ORD-000117,SKU-00400,5,158.2,27.12,10.97
ITEM-071922,ORD-000117,SKU-00313,3,437.24,42.65,0.07
ITEM-069188,ORD-000118,SKU-01107,3,61.12,22.56,2.43
ITEM-803209,ORD-000118,SKU-02190,8,257.84,24.06,12.29
ITEM-373565,ORD-000119,SKU-00377,6,92.32,40.33,10.91
ITEM-760549,ORD-000120,SKU-00075,10,403.17,39.67,1.73
ITEM-066515,ORD-000120,SKU-00665,3,174.34,26.1,13.79
ITEM-203603,ORD-000120,SKU-01961,6,19.75,42.68,15.85
ITEM-108601,ORD-000121,SKU-02099,7,110.12,9.51,12.75
ITEM-811036,ORD-000121,SKU-02402,2,488.19,37.23,16.69
ITEM-979157,ORD-000121,SKU-02025,9,386.57,19.36,12.85
ITEM-208786,ORD-000121,SKU-00172,1,229.19,0.19,7.11
ITEM-680229,ORD-000122,SKU-01388,7,376.12,0.37,6.3
ITEM-485996,ORD-000122,SKU-00350,3,422.3,29.73,11.23
ITEM-122153,ORD-000122,SKU-02429,3,239.35,27.68,11.03
ITEM-125571,ORD-000123,SKU-02560,1,394.14,31.9,4.92
ITEM-563171,ORD-000123,SKU-01744,5,24.27,5.33,18.78
ITEM-697119,ORD-000123,SKU-00561,5,408.77,49.96,5.61
ITEM-078012,ORD-000124,SKU-02175,6,42.18,15.42,6.0
ITEM-023837,ORD-000124,SKU-00108,5,167.24,35.59,17.39
ITEM-976655,ORD-000124,SKU-02151,10,301.78,5.01,2.27
ITEM-277034,ORD-000124,SKU-01368,6,444.76,9.13,4.25
ITEM-242766,ORD-000125,SKU-00202,5,159.19,38.03,15.1
ITEM-851001,ORD-000126,SKU-02920,9,467.93,43.52,10.92
ITEM-689858,ORD-000127,SKU-01219,2,448.19,37.62,0.81
