supplier_id,supplier_name,country,contact_email,rating,lead_time_days
SUP-0130,Supplier 130,CN,supplier130@example.com,2.69,11
SUP-0131,Supplier 131,IN,supplier131@example.com,1.46,34
SUP-0132,Supplier 132,CN,supplier132@example.com,3.64,54
SUP-0133,Supplier 133,CN,supplier133@example.com,1.04,8
SUP-0134,Supplier 134,US,supplier134@example.com,2.19,39
SUP-0135,Supplier 135,MX,supplier135@example.com,4.63,15
SUP-0136,Supplier 136,MX,supplier136@example.com,1.38,4
SUP-0137,Supplier 137,IN,supplier137@example.com,3.02,1
SUP-0138,Supplier 138,US,supplier138@example.com,4.18,35
SUP-0139,Supplier 139,IN,supplier139@example.com,4.62,53
SUP-0140,Supplier 140,DE,supplier140@example.com,3.24,6
SUP-0141,Supplier 141,US,supplier141@example.com,1.61,51
SUP-0142,Supplier 142,MX,supplier142@example.com,4.76,2
SUP-0143,Supplier 143,IN,supplier143@example.com,4.0,47
SUP-0144,Supplier 144,US,supplier144@example.com,2.58,19
SUP-0145,Supplier 145,US,supplier145@example.com,2.11,31
SUP-0146,Supplier 146,CN,supplier146@example.com,1.19,53
SUP-0147,Supplier 147,US,supplier147@example.com,1.77,19
SUP-0148,Supplier 148,US,supplier148@example.com,4.11,56
SUP-0149,Supplier 149,MX,supplier149@example.com,1.43,23
SUP-0150,Supplier 150,DE,supplier150@example.com,1.52,9
SUP-0151,Supplier 151,IN,supplier151@example.com,1.78,19
SUP-0152,Supplier 152,DE,supplier152@example.com,2.58,13
SUP-0153,Supplier 153,US,supplier153@example.com,1.76,8
SUP-0154,Supplier 154,MX,supplier154@example.com,4.62,57
SUP-0155,Supplier 155,MX,supplier155@example.com,2.03,28
SUP-0156,Supplier 156,MX,supplier156@example.com,4.68,27
SUP-0157,Supplier 157,MX,supplier157@example.com,4.94,56
SUP-0158,Supplier 158,CN,supplier158@example.com,4.02,53
SUP-0159,Supplier 159,US,supplier159@example.com,1.03,38
SUP-0160,Supplier 160,CN,supplier160@example.com,1.96,42
SUP-0161,Supplier 161,CN,supplier161@example.com,2.07,9
SUP-0162,Supplier 162,US,supplier162@example.com,3.17,15
SUP-0163,Supplier 163,MX,supplier163@example.com,1.63,46
SUP-0164,Supplier 164,IN,supplier164@example.com,1.31,34
SUP-0165,Supplier 165,MX,supplier165@example.com,1.71,25
SUP-0166,Supplier 166,MX,supplier166@example.com,2.31,1
SUP-0167,Supplier 167,CN,supplier167@example.com,1.2,11
SUP-0168,Supplier 168,DE,supplier168@example.com,1.78,15
SUP-0169,Supplier 169,MX,supplier169@example.com,1.67,26
SUP-0170,Supplier 170,US,supplier170@example.com,4.09,47
SUP-0171,Supplier 171,US,supplier171@example.com,1.68,38
SUP-0172,Supplier 172,US,supplier172@example.com,4.17,33
SUP-0173,Supplier 173,CN,supplier173@example.com,3.03,49
SUP-0174,Supplier 174,IN,supplier174@example.com,4.03,35
SUP-0175,Supplier 175,IN,supplier175@example.com,2.8,46
SUP-0176,Supplier 176,IN,supplier176@example.com,4.6,27
SUP-0177,Supplier 177,MX,supplier177@example.com,2.11,52
SUP-0178,Supplier 178,MX,supplier178@example.com,4.07,12
SUP-0179,Supplier 179,DE,supplier179@example.com,1.65,20
SUP-0180,Supplier 180,DE,supplier180@example.com,4.53,12
SUP-0181,Supplier 181,DE,supplier181@example.com,1.11,58
SUP-0182,Supplier 182,CN,supplier182@example.com,2.83,58
SUP-0183,Supplier 183,IN,supplier183@example.com,2.69,37
SUP-0184,Supplier 184,MX,supplier184@example.com,3.5,6
SUP-0185,Supplier 185,DE,supplier185@example.com,2.76,20
SUP-0186,Supplier 186,CN,supplier186@example.com,3.36,23
SUP-0187,Supplier 187,DE,supplier187@example.com,4.45,15
SUP-0188,Supplier 188,MX,supplier188@example.com,1.57,28
SUP-0189,Supplier 189,DE,supplier189@example.com,1.98,34
SUP-0190,Supplier 190,CN,supplier190@example.com,4.21,8
SUP-0191,Supplier 191,CN,supplier191@example.com,1.91,20
SUP-0192,Supplier 192,DE,supplier192@example.com,4.62,6
SUP-0193,Supplier 193,MX,supplier193@example.com,3.16,26
SUP-0194,Supplier 194,CN,supplier194@example.com,1.33,49
SUP-0195,Supplier 195,IN,supplier195@example.com,1.08,18
SUP-0196,Supplier 196,CN,supplier196@example.com,4.05,14
SUP-0197,Supplier 197,US,supplier197@example.com,4.43,20
SUP-0198,Supplier 198,DE,supplier198@example.com,1.96,42
SUP-0199,Supplier 199,IN,supplier199@example.com,1.96,45
SUP-0200,Supplier 200,MX,supplier200@example.com,4.82,57
SUP-0201,Supplier 201,IN,supplier201@example.com,3.62,49
SUP-0202,Supplier 202,CN,supplier202@example.com,1.67,1
SUP-0203,Supplier 203,CN,supplier203@example.com,2.79,23
SUP-0204,Supplier 204,US,supplier204@example.com,4.64,58
SUP-0205,Supplier 205,IN,supplier205@example.com,3.48,40
SUP-0206,Supplier 206,CN,supplier206@example.com,2.63,16
SUP-0207,Supplier 207,MX,supplier207@example.com,1.6,45
SUP-0208,Supplier 208,MX,supplier208@example.com,3.9,39
SUP-0209,Supplier 209,IN,supplier209@example.com,2.11,19
SUP-0210,Supplier 210,IN,supplier210@example.com,3.26,8
SUP-0211,Supplier 211,US,supplier211@example.com,3.4,24
SUP-0212,Supplier 212,IN,supplier212@example.com,3.22,53
SUP-0213,Supplier 213,MX,supplier213@example.com,1.99,44
SUP-0214,Supplier 214,IN,supplier214@example.com,3.83,56
SUP-0215,Supplier 215,CN,supplier215@example.com,3.26,16
SUP-0216,Supplier 216,CN,supplier216@example.com,2.61,13
SUP-0217,Supplier 217,IN,supplier217@example.com,1.21,50
SUP-0218,Supplier 218,DE,supplier218@example.com,2.33,57
SUP-0219,Supplier 219,IN,supplier219@example.com,2.41,30
SUP-0220,Supplier 220,US,supplier220@example.com,4.16,13
SUP-0221,Supplier 221,MX,supplier221@example.com,3.05,21
SUP-0222,Supplier 222,MX,supplier222@example.com,4.73,19
SUP-0223,Supplier 223,IN,supplier223@example.com,4.0,27
SUP-0224,Supplier 224,DE,supplier224@example.com,3.15,38
SUP-0225,Supplier 225,MX,supplier225@example.com,1.68,44
SUP-0226,Supplier 226,DE,supplier226@example.com,1.88,38
SUP-0227,Supplier 227,MX,supplier227@example.com,1.64,51
SUP-0228,Supplier 228,CN,supplier228@example.com,2.77,23
SUP-0229,Supplier 229,US,supplier229@example.com,3.89,16
SUP-0230,Supplier 230,MX,supplier230@example.com,4.04,46
SUP-0231,Supplier 231,IN,supplier231@example.com,1.38,24
SUP-0232,Supplier 232,CN,supplier232@example.com,2.98,44
SUP-0233,Supplier 233,DE,supplier233@example.com,2.93,50
SUP-0234,Supplier 234,US,supplier234@example.com,2.76,16
SUP-0235,Supplier 235,DE,supplier235@example.com,2.2,49
SUP-0236,Supplier 236,DE,supplier236@example.com,2.9,16
SUP-0237,Supplier 237,MX,supplier237@example.com,3.07,11
SUP-0238,Supplier 238,CN,supplier238@example.com,3.4,26
SUP-0239,Supplier 239,US,supplier239@example.com,2.51,16
SUP-0240,Supplier 240,CN,supplier240@example.com,4.78,41
SUP-0241,Supplier 241,CN,supplier241@example.com,2.36,15
SUP-0242,Supplier 242,MX,supplier242@example.com,4.58,58
SUP-0243,Supplier 243,DE,supplier243@example.com,4.21,18
SUP-0244,Supplier 244,CN,supplier244@example.com,2.86,40
SUP-0245,Supplier 245,DE,supplier245@example.com,2.99,18
SUP-0246,Supplier 246,CN,supplier246@example.com,4.48,58
SUP-0247,Supplier 247,US,supplier247@example.com,2.97,35
SUP-0248,Supplier 248,IN,supplier248@example.com,3.72,5
SUP-0249,Supplier 249,IN,supplier249@example.com,4.24,2
SUP-0250,Supplier 250,IN,supplier250@example.com,4.63,30
SUP-0251,Supplier 251,MX,supplier251@example.com,1.87,31
SUP-0252,Supplier 252,MX,supplier252@example.com,4.9,25
SUP-0253,Supplier 253,DE,supplier253@example.com,4.86,43
SUP-0254,Supplier 254,MX,supplier254@example.com,2.19,31
SUP-0255,Supplier 255,IN,supplier255@example.com,3.45,19
SUP-0256,Supplier 256,MX,supplier256@example.com,1.19,55
SUP-0257,Supplier 257,IN,supplier257@example.com,1.67,34
SUP-0258,Supplier 258,CN,supplier258@example.com,3.34,18
SUP-0259,Supplier 259,IN,supplier259@example.com,3.6,39
SUP-0260,Supplier 260,IN,supplier260@example.com,3.14,48
SUP-0261,Supplier 261,US,supplier261@example.com,3.82,33
SUP-0262,Supplier 262,US,supplier262@example.com,4.17,45
SUP-0263,Supplier 263,US,supplier263@example.com,1.67,3
SUP-0264,Supplier 264,US,supplier264@example.com,3.64,18
SUP-0265,Supplier 265,IN,supplier265@example.com,3.25,36
SUP-0266,Supplier 266,DE,supplier266@example.com,1.47,52
SUP-0267,Supplier 267,US,supplier267@example.com,1.91,26
SUP-0268,Supplier 268,MX,supplier268@example.com,2.68,28
SUP-0269,Supplier 269,MX,supplier269@example.com,4.46,32
SUP-0270,Supplier 270,MX,supplier270@example.com,1.87,49
SUP-0271,Supplier 271,IN,supplier271@example.com,1.73,37
SUP-0272,Supplier 272,CN,supplier272@example.com,3.88,7
SUP-0273,Supplier 273,CN,supplier273@example.com,4.9,28
SUP-0274,Supplier 274,US,supplier274@example.com,2.79,32
SUP-0275,Supplier 275,MX,supplier275@example.com,2.4,41
SUP-0276,Supplier 276,US,supplier276@example.com,2.02,36
SUP-0277,Supplier 277,IN,supplier277@example.com,1.2,22
SUP-0278,Supplier 278,MX,supplier278@example.com,1.71,9
SUP-0279,Supplier 279,US,supplier279@example.com,1.37,17
SUP-0280,Supplier 280,DE,supplier280@example.com,2.98,10
SUP-0281,Supplier 281,IN,supplier281@example.com,4.91,27
SUP-0282,Supplier 282,IN,supplier282@example.com,4.15,17
SUP-0283,Supplier 283,IN,supplier283@example.com,3.41,32
SUP-0284,Supplier 284,DE,supplier284@example.com,2.95,56
SUP-0285,Supplier 285,CN,supplier285@example.com,3.47,44
SUP-0286,Supplier 286,CN,supplier286@example.com,2.5,42
SUP-0287,Supplier 287,DE,supplier287@example.com,1.71,11
SUP-0288,Supplier 288,CN,supplier288@example.com,3.36,45
SUP-0289,Supplier 289,DE,supplier289@example.com,3.11,25
SUP-0290,Supplier 290,US,supplier290@example.com,4.78,17
SUP-0291,Supplier 291,DE,supplier291@example.com,3.6,27
SUP-0292,Supplier 292,CN,supplier292@example.com,4.09,58
SUP-0293,Supplier 293,DE,supplier293@example.com,1.37,55
SUP-0294,Supplier 294,DE,supplier294@example.com,4.04,15
SUP-0295,Supplier 295,MX,supplier295@example.com,4.93,5
SUP-0296,Supplier 296,DE,supplier296@example.com,3.63,43
SUP-0297,Supplier 297,CN,supplier297@example.com,3.97,56
SUP-0298,Supplier 298,IN,supplier298@example.com,4.92,13
SUP-0299,Supplier 299,US,supplier299@example.com,2.57,59
SUP-0300,Supplier 300,DE,supplier300@example.com,4.3,6
SUP-0301,Supplier 301,CN,supplier301@example.com,2.6,42
SUP-0302,Supplier 302,CN,supplier302@example.com,2.7,20
SUP-0303,Supplier 303,MX,supplier303@example.com,3.63,3
SUP-0304,Supplier 304,CN,supplier304@example.com,2.03,28
SUP-0305,Supplier 305,IN,supplier305@example.com,4.97,3
SUP-0306,Supplier 306,CN,supplier306@example.com,2.32,33
SUP-0307,Supplier 307,IN,supplier307@example.com,1.49,2
SUP-0308,Supplier 308,US,supplier308@example.com,2.29,57
SUP-0309,Supplier 309,DE,supplier309@example.com,4.42,37
SUP-0310,Supplier 310,US,supplier310@example.com,2.26,29
SUP-0311,Supplier 311,DE,supplier311@example.com,3.45,14
SUP-0312,Supplier 312,US,supplier312@example.com,4.74,7
SUP-0313,Supplier 313,IN,supplier313@example.com,2.04,44
SUP-0314,Supplier 314,DE,supplier314@example.com,1.53,4
SUP-0315,Supplier 315,DE,supplier315@example.com,1.39,50
SUP-0316,Supplier 316,US,supplier316@example.com,2.76,21
SUP-0317,Supplier 317,MX,supplier317@example.com,1.42,25
SUP-0318,Supplier 318,MX,supplier318@example.com,2.82,9
SUP-0319,Supplier 319,US,supplier319@example.com,4.45,12
SUP-0320,Supplier 320,CN,supplier320@example.com,4.11,12
SUP-0321,Supplier 321,US,supplier321@example.com,3.33,56
SUP-0322,Supplier 322,IN,supplier322@example.com,4.4,5
SUP-0323,Supplier 323,IN,supplier323@example.com,1.4,29
SUP-0324,Supplier 324,CN,supplier324@example.com,3.44,27
SUP-0325,Supplier 325,MX,supplier325@example.com,1.46,39
SUP-0326,Supplier 326,IN,supplier326@example.com,2.93,49
SUP-0327,Supplier 327,IN,supplier327@example.com,2.85,20
SUP-0328,Supplier 328,DE,supplier328@example.com,2.06,29
SUP-0329,Supplier 329,DE,supplier329@example.com,4.32,55
SUP-0330,Supplier 330,CN,supplier330@example.com,1.91,19
SUP-0331,Supplier 331,IN,supplier331@example.com,3.21,36
SUP-0332,Supplier 332,US,supplier332@example.com,2.93,33
SUP-0333,Supplier 333,MX,supplier333@example.com,2.73,8
SUP-0334,Supplier 334,CN,supplier334@example.com,1.13,30
SUP-0335,Supplier 335,US,supplier335@example.com,3.79,34
SUP-0336,Supplier 336,US,supplier336@example.com,1.05,31
SUP-0337,Supplier 337,CN,supplier337@example.com,4.28,58
SUP-0338,Supplier 338,CN,supplier338@example.com,2.07,1
SUP-0339,Supplier 339,IN,supplier339@example.com,1.48,35
SUP-0340,Supplier 340,MX,supplier340@example.com,2.67,19
SUP-0341,Supplier 341,IN,supplier341@example.com,3.24,55
SUP-0342,Supplier 342,US,supplier342@example.com,2.24,46
SUP-0343,Supplier 343,IN,supplier343@example.com,1.49,18
SUP-0344,Supplier 344,IN,supplier344@example.com,1.07,55
SUP-0345,Supplier 345,MX,supplier345@example.com,3.82,46
SUP-0346,Supplier 346,DE,supplier346@example.com,4.55,17
SUP-0347,Supplier 347,MX,supplier347@example.com,1.4,42
SUP-0348,Supplier 348,IN,supplier348@example.com,1.92,31
SUP-0349,Supplier 349,DE,supplier349@example.com,1.08,20
SUP-0350,Supplier 350,US,supplier350@example.com,4.54,56
SUP-0351,Supplier 351,MX,supplier351@example.com,2.78,29
SUP-0352,Supplier 352,CN,supplier352@example.com,4.7,39
SUP-0353,Supplier 353,US,supplier353@example.com,2.87,43
SUP-0354,Supplier 354,DE,supplier354@example.com,4.45,21
SUP-0355,Supplier 355,US,supplier355@example.com,4.81,55
SUP-0356,Supplier 356,CN,supplier356@example.com,2.34,9
SUP-0357,Supplier 357,CN,supplier357@example.com,3.56,30
SUP-0358,Supplier 358,MX,supplier358@example.com,3.67,33
SUP-0359,Supplier 359,MX,supplier359@example.com,1.09,18
SUP-0360,Supplier 360,IN,supplier360@example.com,2.75,49
SUP-0361,Supplier 361,IN,supplier361@example.com,4.42,53
SUP-0362,Supplier 362,US,supplier362@example.com,4.79,51
SUP-0363,Supplier 363,CN,supplier363@example.com,4.6,10
SUP-0364,Supplier 364,US,supplier364@example.com,4.89,1
SUP-0365,Supplier 365,DE,supplier365@example.com,3.61,28
SUP-0366,Supplier 366,DE,supplier366@example.com,1.93,33
SUP-0367,Supplier 367,IN,supplier367@example.com,3.3,39
SUP-0368,Supplier 368,US,supplier368@example.com,2.68,59
SUP-0369,Supplier 369,DE,supplier369@example.com,2.03,18
SUP-0370,Supplier 370,IN,supplier370@example.com,4.09,43
SUP-0371,Supplier 371,US,supplier371@example.com,3.52,45
SUP-0372,Supplier 372,CN,supplier372@example.com,4.16,9
SUP-0373,Supplier 373,DE,supplier373@example.com,2.08,28
SUP-0374,Supplier 374,DE,supplier374@example.com,4.62,23
SUP-0375,Supplier 375,CN,supplier375@example.com,1.95,26
SUP-0376,Supplier 376,IN,supplier376@example.com,3.41,49
SUP-0377,Supplier 377,DE,supplier377@example.com,1.23,43
SUP-0378,Supplier 378,CN,supplier378@example.com,3.16,33
SUP-0379,Supplier 379,IN,supplier379@example.com,1.39,20
SUP-0380,Supplier 380,MX,supplier380@example.com,2.33,16
SUP-0381,Supplier 381,IN,supplier381@example.com,4.44,19
SUP-0382,Supplier 382,DE,supplier382@example.com,4.57,32
SUP-0383,Supplier 383,IN,supplier383@example.com,4.07,54
SUP-0384,Supplier 384,DE,supplier384@example.com,2.47,11
SUP-0385,Supplier 385,IN,supplier385@example.com,3.31,46
SUP-0386,Supplier 386,MX,supplier386@example.com,1.9,44
SUP-0387,Supplier 387,IN,supplier387@example.com,3.71,40
SUP-0388,Supplier 388,MX,supplier388@example.com,2.39,47
SUP-0389,Supplier 389,DE,supplier389@example.com,1.88,26
SUP-0390,Supplier 390,IN,supplier390@example.com,3.34,55
SUP-0391,Supplier 391,CN,supplier391@example.com,1.45,1
SUP-0392,Supplier 392,MX,supplier392@example.com,3.75,38
SUP-0393,Supplier 393,US,supplier393@example.com,1.75,12
SUP-0394,Supplier 394,MX,supplier394@example.com,3.21,57
SUP-0395,Supplier 395,IN,supplier395@example.com,2.57,9
SUP-0396,Supplier 396,MX,supplier396@example.com,3.26,50
SUP-0397,Supplier 397,IN,supplier397@example.com,1.98,8
SUP-0398,Supplier 398,DE,supplier398@example.com,2.24,59
SUP-0399,Supplier 399,DE,supplier399@example.com,1.56,31
SUP-0400,Supplier 400,CN,supplier400@example.com,4.11,20
SUP-0401,Supplier 401,US,supplier401@example.com,1.28,19
SUP-0402,Supplier 402,DE,supplier402@example.com,2.51,32
SUP-0403,Supplier 403,CN,supplier403@example.com,2.8,55
SUP-0404,Supplier 404,US,supplier404@example.com,1.78,5
SUP-0405,Supplier 405,CN,supplier405@example.com,2.54,31
SUP-0406,Supplier 406,DE,supplier406@example.com,2.67,22
SUP-0407,Supplier 407,US,supplier407@example.com,1.9,20
SUP-0408,Supplier 408,DE,supplier408@example.com,3.56,57
SUP-0409,Supplier 409,IN,supplier409@example.com,1.12,12
SUP-0410,Supplier 410,US,supplier410@example.com,1.79,19
SUP-0411,Supplier 411,CN,supplier411@example.com,3.5,37
SUP-0412,Supplier 412,IN,supplier412@example.com,3.51,2
SUP-0413,Supplier 413,CN,supplier413@example.com,2.06,4
SUP-0414,Supplier 414,DE,supplier414@example.com,3.73,30
SUP-0415,Supplier 415,DE,supplier415@example.com,2.88,23
SUP-0416,Supplier 416,IN,supplier416@example.com,3.11,58
SUP-0417,Supplier 417,IN,supplier417@example.com,2.33,21
SUP-0418,Supplier 418,US,supplier418@example.com,4.94,54
SUP-0419,Supplier 419,CN,supplier419@example.com,3.95,59
SUP-0420,Supplier 420,MX,supplier420@example.com,1.99,5
SUP-0421,Supplier 421,DE,supplier421@example.com,1.95,7
SUP-0422,Supplier 422,MX,supplier422@example.com,4.1,12
SUP-0423,Supplier 423,MX,supplier423@example.com,2.55,41
SUP-0424,Supplier 424,IN,supplier424@example.com,1.37,11
SUP-0425,Supplier 425,CN,supplier425@example.com,1.14,46
SUP-0426,Supplier 426,MX,supplier426@example.com,2.66,14
SUP-0427,Supplier 427,CN,supplier427@example.com,2.66,39
SUP-0428,Supplier 428,IN,supplier428@example.com,3.83,3
SUP-0429,Supplier 429,MX,supplier429@example.com,3.3,23
SUP-0430,Supplier 430,MX,supplier430@example.com,4.08,3
SUP-0431,Supplier 431,DE,supplier431@example.com,2.27,36
SUP-0432,Supplier 432,MX,supplier432@example.com,3.5,54
SUP-0433,Supplier 433,US,supplier433@example.com,4.54,39
SUP-0434,Supplier 434,IN,supplier434@example.com,1.28,24
SUP-0435,Supplier 435,US,supplier435@example.com,3.83,41
SUP-0436,Supplier 436,MX,supplier436@example.com,3.86,33
SUP-0437,Supplier 437,MX,supplier437@example.com,4.18,32
SUP-0438,Supplier 438,US,supplier438@example.com,2.08,30
