procurement_id,component_id,supplier_id,order_date,expected_delivery_date,quantity_ordered,unit_cost,status
PROC-000032,COMP-04313,SUP-0369,2025-05-22 20:25:32,2026-11-25 18:43:49,47,29.58,DELIVERED
PROC-000033,COMP-03682,SUP-0470,2024-03-13 06:00:41,2026-02-15 05:50:34,368,119.51,IN_TRANSIT
PROC-000034,COMP-04226,SUP-0188,2024-10-26 05:21:47,2026-11-12 08:26:13,343,129.65,DELIVERED
PROC-000035,COMP-03602,SUP-0361,2024-12-10 14:46:13,2026-01-22 07:06:14,181,85.49,ORDERED
PROC-000036,COMP-00016,SUP-0452,2023-04-13 06:54:48,2026-08-05 08:14:32,365,138.64,IN_TRANSIT
PROC-000037,COMP-02328,SUP-0360,2023-09-14 05:14:34,2026-08-29 00:55:35,405,149.59,DELIVERED
PROC-000038,COMP-02148,SUP-0031,2025-02-21 13:07:54,2026-05-04 20:30:57,392,156.83,IN_TRANSIT
PROC-000039,COMP-04385,SUP-0093,2024-02-06 01:11:10,2026-01-02 07:50:54,73,100.96,DELIVERED
PROC-000040,COMP-03068,SUP-0272,2024-02-18 12:10:30,2026-05-19 10:33:02,122,158.54,ORDERED
PROC-000041,COMP-03071,SUP-0402,2024-09-07 20:21:42,2026-11-08 00:04:36,353,6.07,CANCELLED
PROC-000042,COMP-03482,SUP-0281,2023-05-15 22:09:49,2025-06-03 05:53:11,186,136.4,DELIVERED
PROC-000043,COMP-03233,SUP-0227,2023-01-23 10:57:09,2025-03-30 21:53:19,324,47.89,IN_TRANSIT
PROC-000044,COMP-01566,SUP-0007,2024-10-31 08:05:10,2025-08-13 20:41:24,319,54.83,DELIVERED
PROC-000045,COMP-02028,SUP-0100,2023-02-24 12:17:03,2025-04-04 01:08:31,443,19.17,CANCELLED
PROC-000046,COMP-01657,SUP-0449,2024-05-13 02:34:07,2025-05-25 11:43:16,82,39.29,ORDERED
PROC-000047,COMP-04363,SUP-0104,2023-08-01 02:56:04,2026-09-07 05:59:34,480,198.41,ORDERED
PROC-000048,COMP-04029,SUP-0436,2024-09-21 11:42:24,2026-09-18 13:20:08,30,83.66,CANCELLED
PROC-000049,COMP-02230,SUP-0392,2023-07-17 22:26:05,2025-08-03 01:45:30,281,185.63,ORDERED
PROC-000050,COMP-03539,SUP-0256,2023-04-04 15:56:19,2026-04-08 11:24:13,121,33.42,DELIVERED
PROC-000051,COMP-04981,SUP-0112,2024-09-11 07:43:51,2025-02-10 03:59:44,353,41.61,IN_TRANSIT
PROC-000052,COMP-00977,SUP-0216,2025-07-19 12:36:44,2025-08-09 09:51:14,355,112.0,DELIVERED
PROC-000053,COMP-04721,SUP-0104,2025-04-05 01:13:02,2025-04-13 00:19:33,106,70.56,CANCELLED
PROC-000054,COMP-01594,SUP-0211,2024-08-03 07:01:39,2025-08-21 05:13:03,312,129.14,DELIVERED
PROC-000055,COMP-00252,SUP-0164,2023-06-18 23:00:45,2026-04-18 09:49:17,418,84.99,DELIVERED
PROC-000056,COMP-01753,SUP-0075,2023-10-10 14:44:25,2026-11-19 00:20:53,434,162.51,CANCELLED
PROC-000057,COMP-00753,SUP-0367,2025-11-12 02:35:21,2026-01-17 01:48:20,130,86.88,IN_TRANSIT
PROC-000058,COMP-03021,SUP-0372,2024-04-06 15:50:47,2025-08-11 05:44:49,205,114.9,ORDERED
PROC-000059,COMP-04260,SUP-0485,2024-11-07 09:32:13,2025-07-06 16:10:41,53,64.89,CANCELLED
PROC-000060,COMP-02533,SUP-0182,2025-05-03 19:01:19,2026-06-22 22:05:56,382,141.1,ORDERED
PROC-000061,COMP-01081,SUP-0462,2024-03-20 18:55:43,2026-07-27 20:54:30,297,131.29,ORDERED
PROC-000062,COMP-02788,SUP-0478,2024-11-14 21:17:00,2025-01-14 04:32:42,279,80.0,CANCELLED
PROC-000063,COMP-03375,SUP-0309,2023-11-21 12:58:34,2025-12-15 20:56:28,189,55.93,IN_TRANSIT
PROC-000064,COMP-00537,SUP-0145,2024-12-04 20:26:27,2026-01-05 01:56:32,215,123.21,CANCELLED
PROC-000065,COMP-02134,SUP-0469,2023-02-17 04:47:22,2026-05-23 11:46:48,31,188.69,CANCELLED
PROC-000066,COMP-01217,SUP-0218,2025-11-04 06:43:00,2025-02-10 23:11:59,450,27.4,DELIVERED
PROC-000067,COMP-04893,SUP-0318,2024-07-03 22:19:19,2026-02-20 10:37:35,258,160.02,DELIVERED
PROC-000068,COMP-01812,SUP-0492,2025-09-04 02:14:22,2026-06-27 12:17:34,453,109.06,CANCELLED
PROC-000069,COMP-04532,SUP-0223,2025-04-13 10:09:40,2025-12-11 22:21:52,60,105.59,DELIVERED
PROC-000070,COMP-01901,SUP-0024,2023-06-09 02:49:25,2025-04-07 20:51:02,78,192.38,IN_TRANSIT
PROC-000071,COMP-00920,SUP-0125,2025-01-24 15:22:59,2025-10-17 14:58:15,23,121.57,DELIVERED
PROC-000072,COMP-00593,SUP-0103,2023-10-30 08:38:41,2026-11-23 18:33:33,185,166.27,IN_TRANSIT
PROC-000073,COMP-02578,SUP-0402,2023-06-18 23:32:19,2025-10-12 10:56:08,35,103.38,ORDERED
PROC-000074,COMP-04885,SUP-0051,2023-12-07 10:32:51,2026-04-13 12:49:29,494,50.72,ORDERED
PROC-000075,COMP-01447,SUP-0413,2023-09-27 16:14:46,2026-09-02 13:53:31,1,139.2,IN_TRANSIT
PROC-000076,COMP-02282,SUP-0134,2024-01-18 06:40:22,2026-04-24 07:40:45,105,184.71,ORDERED
PROC-000077,COMP-03877,SUP-0025,2024-10-06 18:29:44,2025-08-20 04:52:09,176,168.4,IN_TRANSIT
PROC-000078,COMP-00302,SUP-0309,2025-11-16 12:34:33,2026-10-16 07:00:04,49,40.47,CANCELLED
PROC-000079,COMP-00745,SUP-0492,2023-01-07 14:31:40,2025-06-28 16:02:58,168,64.06,DELIVERED
PROC-000080,COMP-02657,SUP-0364,2025-02-21 11:06:29,2026-02-21 12:56:29,318,103.86,ORDERED
PROC-000081,COMP-04838,SUP-0482,2023-10-02 14:48:31,2025-06-19 14:42:55,271,114.75,ORDERED
PROC-000082,COMP-04313,SUP-0382,2023-05-26 22:31:41,2026-02-14 15:22:19,158,39.57,CANCELLED
PROC-000083,COMP-00403,SUP-0495,2023-06-25 17:53:25,2025-09-01 02:41:43,21,46.77,DELIVERED
PROC-000084,COMP-03704,SUP-0321,2025-08-12 18:48:04,2026-05-17 11:57:53,392,152.01,DELIVERED
PROC-000085,COMP-01532,SUP-0352,2023-02-17 19:56:05,2026-04-04 01:15:00,391,146.33,IN_TRANSIT
PROC-000086,COMP-04300,SUP-0139,2023-04-20 10:57:08,2026-06-02 04:44:34,105,168.0,ORDERED
PROC-000087,COMP-02786,SUP-0324,2023-07-24 06:41:03,2025-01-21 11:04:51,290,186.65,DELIVERED
PROC-000088,COMP-02464,SUP-0147,2023-01-20 23:10:45,2026-11-26 02:27:01,121,62.34,ORDERED
PROC-000089,COMP-03672,SUP-0020,2025-05-15 10:40:16,2025-02-11 18:04:24,192,172.06,ORDERED
PROC-000090,COMP-04279,SUP-0124,2025-02-11 21:27:16,2026-03-07 09:13:11,426,133.54,ORDERED
PROC-000091,COMP-04960,SUP-0196,2024-04-22 08:17:14,2025-11-15 19:32:07,229,191.6,ORDERED
PROC-000092,COMP-02546,SUP-0330,2023-05-24 02:11:46,2025-02-26 11:14:53,496,55.14,IN_TRANSIT
PROC-000093,COMP-00586,SUP-0438,2024-09-14 23:07:15,2025-03-13 14:51:24,181,54.66,DELIVERED
PROC-000094,COMP-00204,SUP-0342,2024-12-03 22:34:49,2026-11-16 01:30:36,352,141.15,ORDERED
PROC-000095,COMP-04936,SUP-0265,2025-03-20 14:31:40,2026-07-08 15:18:31,225,185.75,DELIVERED
PROC-000096,COMP-03945,SUP-0143,2025-04-13 18:07:56,2025-09-09 03:42:02,454,165.09,CANCELLED
PROC-000097,COMP-04041,SUP-0053,2024-08-18 04:50:48,2025-02-23 22:27:59,234,145.68,CANCELLED
PROC-000098,COMP-01142,SUP-0290,2023-11-04 16:51:03,2025-11-16 12:05:30,266,78.07,DELIVERED
PROC-000099,COMP-04871,SUP-0089,2025-04-09 08:59:54,2025-08-14 18:03:07,346,143.84,IN_TRANSIT
PROC-000100,COMP-03878,SUP-0119,2023-06-29 21:37:52,2025-09-10 23:27:47,314,160.42,IN_TRANSIT
PROC-000101,COMP-00675,SUP-0152,2023-10-01 23:11:39,2025-04-12 02:09:38,499,150.9,CANCELLED
PROC-000102,COMP-01896,SUP-0101,2023-04-09 05:54:27,2025-01-22 23:50:44,365,135.69,ORDERED
PROC-000103,COMP-00092,SUP-0277,2025-08-04 15:41:33,2026-01-31 20:17:42,218,10.38,CANCELLED
PROC-000104,COMP-03245,SUP-0179,2025-03-06 23:23:38,2025-05-31 01:58:33,211,132.28,ORDERED
PROC-000105,COMP-03224,SUP-0217,2023-08-08 09:20:24,2025-09-21 03:24:14,99,96.18,CANCELLED
PROC-000106,COMP-03448,SUP-0338,2023-03-05 21:20:46,2026-03-17 08:21:32,109,192.35,CANCELLED
PROC-000107,COMP-03813,SUP-0327,2023-04-09 18:54:58,2026-05-07 02:45:12,388,121.83,IN_TRANSIT
PROC-000108,COMP-04646,SUP-0124,2025-09-22 15:20:57,2025-01-10 19:27:38,345,122.04,DELIVERED
PROC-000109,COMP-04554,SUP-0436,2024-09-27 22:37:38,2026-02-12 00:01:39,253,198.82,DELIVERED
PROC-000110,COMP-00974,SUP-0345,2025-06-15 14:19:42,2026-10-22 20:49:07,392,19.62,CANCELLED
PROC-000111,COMP-01418,SUP-0294,2024-01-08 05:11:03,2026-11-17 15:51:28,12,55.99,IN_TRANSIT
PROC-000112,COMP-03437,SUP-0426,2025-06-05 02:03:57,2026-01-13 12:34:20,118,131.56,ORDERED
PROC-000113,COMP-03858,SUP-0018,2025-10-29 20:34:49,2026-10-11 00:20:44,88,63.73,CANCELLED
PROC-000114,COMP-02817,SUP-0372,2025-09-19 02:31:14,2026-04-25 20:40:45,344,69.88,ORDERED
PROC-000115,COMP-04962,SUP-0413,2024-10-22 06:26:40,2026-08-17 06:38:53,209,178.64,ORDERED
PROC-000116,COMP-04903,SUP-0498,2024-11-25 04:43:31,2026-05-25 10:29:40,409,116.29,IN_TRANSIT
PROC-000117,COMP-04463,SUP-0240,2025-08-23 20:40:28,2026-07-15 06:46:32,481,21.47,IN_TRANSIT
PROC-000118,COMP-04436,SUP-0170,2023-01-15 05:49:24,2026-02-06 05:38:19,411,62.86,DELIVERED
PROC-000119,COMP-01256,SUP-0401,2023-09-10 10:36:59,2025-10-14 00:33:18,130,16.14,IN_TRANSIT
PROC-000120,COMP-01288,SUP-0324,2023-02-20 20:05:37,2026-06-04 20:36:27,329,111.67,CANCELLED
PROC-000121,COMP-03868,SUP-0077,2023-12-09 01:22:23,2026-06-10 23:46:42,183,35.48,CANCELLED
PROC-000122,COMP-00654,SUP-0164,2024-06-04 16:39:44,2025-02-09 09:45:32,442,171.57,ORDERED
PROC-000123,COMP-03535,SUP-0004,2025-11-05 21:42:51,2025-05-02 20:24:27,417,115.89,DELIVERED
PROC-000124,COMP-00408,SUP-0352,2025-11-13 00:59:09,2025-02-25 17:49:52,83,12.82,ORDERED
PROC-000125,COMP-04297,SUP-0115,2024-08-10 11:12:42,2025-04-02 21:14:52,254,60.87,ORDERED
PROC-000126,COMP-03781,SUP-0248,2023-12-28 19:11:05,2025-02-07 05:47:02,433,123.65,DELIVERED
PROC-000127,COMP-03688,SUP-0255,2025-09-08 10:58:02,2026-04-14 10:55:42,5,67.76,ORDERED
PROC-000128,COMP-03175,SUP-0253,2025-01-18 18:25:59,2026-10-05 21:37:37,303,103.12,DELIVERED
PROC-000129,COMP-04413,SUP-0210,2025-06-02 11:56:41,2025-02-02 09:10:10,468,181.96,ORDERED
PROC-000130,COMP-03576,SUP-0447,2023-02-22 06:46:44,2026-03-22 20:09:17,24,70.66,ORDERED
PROC-000131,COMP-02783,SUP-0398,2024-07-02 20:12:41,2026-11-05 16:40:31,121,67.84,DELIVERED
PROC-000132,COMP-02559,SUP-0171,2023-08-07 14:20:41,2026-03-16 19:05:57,95,164.13,CANCELLED
PROC-000133,COMP-04136,SUP-0277,2025-07-05 20:14:25,2026-08-09 01:44:01,428,64.43,ORDERED
PROC-000134,COMP-03259,SUP-0167,2024-08-24 18:44:04,2025-07-07 20:11:34,452,16.51,ORDERED
PROC-000135,COMP-03383,SUP-0004,2025-05-12 17:50:29,2026-04-21 01:15:14,224,37.01,CANCELLED
PROC-000136,COMP-01213,SUP-0335,2024-11-30 14:00:32,2025-04-15 08:17:23,239,189.81,DELIVERED
PROC-000137,COMP-04992,SUP-0117,2025-02-12 16:42:45,2025-04-14 02:05:57,227,186.73,DELIVERED
PROC-000138,COMP-04959,SUP-0126,2023-03-10 21:41:42,2026-09-02 12:58:19,142,45.74,CANCELLED
PROC-000139,COMP-04262,SUP-0193,2023-07-04 11:14:20,2025-08-27 23:58:52,420,111.15,DELIVERED
PROC-000140,COMP-00544,SUP-0217,2024-11-25 16:41:43,2025-11-05 18:20:47,51,28.34,IN_TRANSIT
PROC-000141,COMP-04221,SUP-0205,2025-09-23 12:47:13,2025-06-06 02:34:44,390,135.26,ORDERED
PROC-000142,COMP-00776,SUP-0162,2025-06-11 22:49:50,2025-07-26 06:12:22,145,37.88,DELIVERED
PROC-000143,COMP-02704,SUP-0106,2025-10-08 10:02:06,2025-01-09 15:25:46,338,10.91,CANCELLED
PROC-000144,COMP-04495,SUP-0401,2023-10-29 07:42:36,2025-02-05 12:18:05,328,165.15,ORDERED
PROC-000145,COMP-01449,SUP-0273,2023-07-01 20:57:37,2026-10-12 22:33:51,307,65.75,CANCELLED
PROC-000146,COMP-03136,SUP-0497,2024-01-25 20:14:14,2026-06-28 16:08:23,52,22.6,DELIVERED
PROC-000147,COMP-04932,SUP-0141,2024-11-10 04:23:15,2025-02-13 01:50:58,12,166.95,CANCELLED
PROC-000148,COMP-01173,SUP-0141,2023-08-31 01:11:07,2026-06-06 11:01:25,337,152.72,CANCELLED
PROC-000149,COMP-02386,SUP-0096,2023-03-27 03:07:14,2025-10-26 03:03:31,95,137.07,ORDERED
PROC-000150,COMP-01789,SUP-0331,2024-12-11 03:19:51,2025-01-29 14:36:17,371,182.34,ORDERED
PROC-000151,COMP-04926,SUP-0454,2023-06-25 00:19:23,2026-04-03 22:24:05,129,98.36,DELIVERED
PROC-000152,COMP-01861,SUP-0218,2025-01-15 00:44:28,2025-08-25 00:30:49,11,26.48,CANCELLED
PROC-000153,COMP-02569,SUP-0326,2024-03-14 13:43:16,2026-09-20 14:53:20,490,13.21,CANCELLED
PROC-000154,COMP-04828,SUP-0323,2024-05-15 00:37:46,2025-06-09 23:49:10,272,64.37,DELIVERED
PROC-000155,COMP-02439,SUP-0357,2024-09-14 19:28:05,2025-11-24 09:48:33,357,18.28,CANCELLED
PROC-000156,COMP-00701,SUP-0072,2024-01-13 22:34:13,2026-11-02 02:30:27,369,107.57,CANCELLED
PROC-000157,COMP-00411,SUP-0344,2024-11-17 08:51:08,2025-06-08 00:01:14,92,3.89,CANCELLED
PROC-000158,COMP-04840,SUP-0041,2025-03-26 12:09:06,2026-10-18 05:31:46,9,89.31,CANCELLED
PROC-000159,COMP-00281,SUP-0174,2025-03-21 19:40:02,2026-06-27 14:46:09,375,36.51,IN_TRANSIT
PROC-000160,COMP-04296,SUP-0493,2023-10-23 20:52:03,2026-09-30 00:32:39,123,74.29,DELIVERED
PROC-000161,COMP-01694,SUP-0142,2025-08-13 01:00:36,2026-10-03 14:17:08,264,135.33,DELIVERED
PROC-000162,COMP-03889,SUP-0127,2024-09-06 02:13:22,2026-11-05 23:47:34,281,70.84,CANCELLED
PROC-000163,COMP-04026,SUP-0468,2024-03-05 05:10:03,2026-11-08 20:17:05,458,68.93,DELIVERED
PROC-000164,COMP-03699,SUP-0286,2024-08-18 10:48:45,2026-07-10 05:30:22,424,198.16,IN_TRANSIT
PROC-000165,COMP-02622,SUP-0172,2023-12-25 13:45:48,2025-04-18 18:47:08,451,144.04,CANCELLED
PROC-000166,COMP-02648,SUP-0116,2024-07-21 16:32:06,2025-09-05 02:10:01,119,103.26,ORDERED
PROC-000167,COMP-03634,SUP-0028,2024-04-01 00:56:56,2025-04-09 10:43:10,407,116.3,IN_TRANSIT
PROC-000168,COMP-04734,SUP-0158,2025-09-26 09:00:23,2026-11-23 05:08:19,190,124.42,ORDERED
PROC-000169,COMP-01866,SUP-0063,2025-11-19 16:16:22,2026-03-06 13:29:27,279,5.89,DELIVERED
PROC-000170,COMP-04637,SUP-0259,2025-02-11 20:05:28,2025-01-02 21:32:00,300,16.97,DELIVERED
PROC-000171,COMP-03200,SUP-0347,2025-07-30 05:30:49,2026-04-22 18:14:42,56,130.19,DELIVERED
PROC-000172,COMP-04163,SUP-0257,2025-11-22 04:59:15,2025-07-31 15:47:52,196,73.53,CANCELLED
PROC-000173,COMP-01839,SUP-0445,2023-02-06 15:48:32,2026-05-31 18:50:33,379,12.03,IN_TRANSIT
PROC-000174,COMP-01936,SUP-0251,2025-08-04 09:27:51,2026-10-15 21:57:24,498,60.21,IN_TRANSIT
PROC-000175,COMP-00161,SUP-0040,2023-12-11 06:30:51,2026-06-23 10:16:54,23,26.93,CANCELLED
PROC-000176,COMP-04850,SUP-0062,2023-12-20 01:34:51,2026-04-10 15:57:25,265,183.35,CANCELLED
PROC-000177,COMP-01553,SUP-0387,2025-07-27 16:54:10,2026-11-06 01:00:48,245,41.38,DELIVERED
PROC-000178,COMP-01817,SUP-0340,2023-11-27 20:14:41,2026-02-26 17:28:49,260,29.59,IN_TRANSIT
PROC-000179,COMP-02941,SUP-0229,2025-10-07 09:40:32,2025-04-28 15:50:49,418,125.61,DELIVERED
PROC-000180,COMP-01859,SUP-0365,2023-04-28 14:35:24,2025-05-31 15:30:36,231,104.86,IN_TRANSIT
PROC-000181,COMP-01413,SUP-0026,2025-06-07 12:50:48,2026-01-19 10:30:29,210,115.61,CANCELLED
PROC-000182,COMP-04692,SUP-0089,2023-01-04 10:00:51,2025-06-05 09:52:46,162,87.75,DELIVERED
PROC-000183,COMP-03142,SUP-0103,2023-02-22 17:44:28,2025-08-11 18:37:20,377,93.97,IN_TRANSIT
PROC-000184,COMP-00847,SUP-0375,2024-03-14 03:20:22,2026-10-14 11:05:54,354,155.98,CANCELLED
PROC-000185,COMP-00502,SUP-0447,2025-11-04 12:33:00,2026-05-27 07:45:15,170,44.76,ORDERED
PROC-000186,COMP-04655,SUP-0321,2023-12-17 06:32:29,2025-05-14 01:15:49,387,79.91,DELIVERED
PROC-000187,COMP-00668,SUP-0098,2024-10-25 04:25:27,2026-01-10 05:12:39,339,191.61,IN_TRANSIT
PROC-000188,COMP-03847,SUP-0441,2025-06-10 06:06:16,2025-12-28 23:26:59,290,38.81,IN_TRANSIT
PROC-000189,COMP-02888,SUP-0302,2024-09-14 21:13:20,2025-11-13 09:45:33,474,59.46,DELIVERED
PROC-000190,COMP-01762,SUP-0356,2024-05-31 06:19:23,2025-05-12 15:32:46,227,39.12,IN_TRANSIT
PROC-000191,COMP-01700,SUP-0089,2024-06-15 07:30:07,2026-01-09 13:28:59,361,5.08,ORDERED
PROC-000192,COMP-04006,SUP-0040,2024-02-28 00:41:36,2025-02-10 18:37:25,363,54.7,ORDERED
PROC-000193,COMP-01657,SUP-0282,2023-01-26 16:43:44,2026-05-22 00:14:45,479,10.25,IN_TRANSIT
PROC-000194,COMP-04136,SUP-0178,2023-01-21 09:40:47,2026-01-22 20:08:08,43,31.78,DELIVERED
PROC-000195,COMP-04738,SUP-0111,2025-09-03 21:10:19,2025-10-26 22:30:51,475,73.17,IN_TRANSIT
PROC-000196,COMP-04771,SUP-0242,2024-10-29 11:52:40,2026-01-01 00:23:46,195,5.12,IN_TRANSIT
PROC-000197,COMP-01890,SUP-0357,2024-12-28 17:05:37,2026-01-02 15:19:51,421,150.84,ORDERED
PROC-000198,COMP-00062,SUP-0457,2023-02-08 01:10:30,2026-05-02 16:38:00,12,159.32,CANCELLED
PROC-000199,COMP-04253,SUP-0020,2023-04-17 05:09:01,2025-08-20 05:51:05,495,82.87,CANCELLED
PROC-000200,COMP-01434,SUP-0127,2025-06-09 09:36:28,2025-05-11 03:54:01,471,196.95,IN_TRANSIT
PROC-000201,COMP-04040,SUP-0005,2024-10-10 08:11:48,2025-12-05 22:25:30,465,136.12,DELIVERED
PROC-000202,COMP-03427,SUP-0250,2025-07-09 12:27:31,2026-02-05 09:50:51,272,149.0,ORDERED
PROC-000203,COMP-02227,SUP-0153,2024-09-02 07:01:05,2025-07-23 23:23:55,62,39.27,CANCELLED
PROC-000204,COMP-00513,SUP-0440,2024-08-11 04:45:15,2026-11-30 14:51:33,17,167.65,IN_TRANSIT
PROC-000205,COMP-01521,SUP-0081,2024-02-21 18:00:52,2026-02-09 20:59:01,271,189.06,DELIVERED
PROC-000206,COMP-04071,SUP-0239,2025-05-12 09:44:18,2026-01-22 08:28:54,26,48.03,ORDERED
PROC-000207,COMP-03844,SUP-0406,2024-06-19 21:44:57,2025-04-03 02:47:20,45,137.61,CANCELLED
PROC-000208,COMP-04161,SUP-0089,2023-10-14 16:43:38,2025-07-18 21:25:47,386,149.64,CANCELLED
PROC-000209,COMP-00550,SUP-0351,2024-07-03 15:23:01,2026-03-06 12:57:27,145,61.73,CANCELLED
PROC-000210,COMP-02610,SUP-0429,2024-10-24 17:27:46,2025-12-25 15:00:20,65,95.53,DELIVERED
PROC-000211,COMP-03733,SUP-0342,2025-01-28 20:17:04,2025-01-18 15:35:41,350,20.41,DELIVERED
PROC-000212,COMP-02858,SUP-0392,2023-10-19 18:27:03,2025-06-21 14:15:23,480,35.45,DELIVERED
PROC-000213,COMP-04817,SUP-0089,2023-12-27 08:59:19,2025-08-11 17:57:08,286,13.25,IN_TRANSIT
PROC-000214,COMP-01456,SUP-0286,2025-08-26 11:28:05,2026-08-10 01:55:33,490,112.47,ORDERED
PROC-000215,COMP-00511,SUP-0500,2023-04-14 01:37:41,2026-01-27 16:39:28,68,125.43,IN_TRANSIT
PROC-000216,COMP-04643,SUP-0261,2023-06-17 14:26:57,2026-02-27 22:46:42,362,183.31,ORDERED
PROC-000217,COMP-04203,SUP-0010,2025-07-29 15:39:40,2026-11-03 07:32:35,300,108.89,DELIVERED
PROC-000218,COMP-02729,SUP-0310,2024-12-09 03:20:20,2026-08-23 12:53:32,96,52.86,CANCELLED
PROC-000219,COMP-01322,SUP-0322,2024-10-16 09:43:55,2025-07-24 07:26:11,60,12.84,DELIVERED
PROC-000220,COMP-00449,SUP-0208,2025-08-29 11:06:05,2025-04-26 12:14:23,483,177.11,IN_TRANSIT
PROC-000221,COMP-01524,SUP-0411,2025-05-30 16:55:46,2025-04-23 22:48:50,257,96.29,DELIVERED
PROC-000222,COMP-04037,SUP-0324,2025-07-01 16:09:27,2025-08-03 04:48:37,19,147.73,DELIVERED
PROC-000223,COMP-00068,SUP-0272,2024-03-29 01:06:13,2025-03-20 16:53:17,33,3.92,DELIVERED
PROC-000224,COMP-01441,SUP-0371,2024-06-14 03:35:41,2025-08-27 23:14:12,467,98.14,CANCELLED
PROC-000225,COMP-01614,SUP-0423,2025-10-21 08:47:31,2025-01-27 00:34:49,420,65.82,ORDERED
PROC-000226,COMP-01042,SUP-0023,2025-06-03 20:03:02,2026-05-27 06:22:05,91,7.04,ORDERED
PROC-000227,COMP-04705,SUP-0255,2025-06-16 02:04:38,2025-06-11 06:37:09,461,155.36,IN_TRANSIT
PROC-000228,COMP-03080,SUP-0484,2025-01-06 05:02:58,2026-06-23 00:39:12,475,103.07,ORDERED
PROC-000229,COMP-00893,SUP-0182,2024-08-25 21:24:19,2025-02-25 03:00:54,238,67.3,DELIVERED
PROC-000230,COMP-01161,SUP-0294,2023-10-13 11:29:00,2025-06-27 23:09:09,462,161.35,CANCELLED
