return_id,order_id,sku_id,return_date,return_reason,refund_amount,condition
RET-000081,ORD-002429,SKU-00344,2023-11-02 16:38:51,NOT_AS_DESCRIBED,194.62,USED
RET-000082,ORD-000812,SKU-02184,2025-02-28 21:36:28,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000083,ORD-000973,SKU-02786,2023-01-03 16:52:55,DAMAGED,194.62,NEW
RET-000084,ORD-000545,SKU-00046,2025-05-25 05:31:38,SIZE_ISSUE,194.62,DAMAGED
RET-000085,ORD-002173,SKU-02859,2024-10-16 07:52:28,SIZE_ISSUE,194.62,NEW
RET-000086,ORD-001813,SKU-01746,2023-12-20 20:46:29,NO_LONGER_NEEDED,194.62,USED
RET-000087,ORD-000789,SKU-01627,2024-04-19 19:40:14,DAMAGED,194.62,USED
RET-000088,ORD-004966,SKU-00776,2023-09-23 21:06:11,DAMAGED,194.62,USED
RET-000089,ORD-004537,SKU-02112,2023-01-06 15:54:37,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000090,ORD-000418,SKU-02777,2025-07-17 14:54:20,SIZE_ISSUE,194.62,USED
RET-000091,ORD-004847,SKU-02314,2025-03-31 23:31:41,DAMAGED,194.62,DAMAGED
RET-000092,ORD-004580,SKU-00219,2025-05-11 11:25:21,NOT_AS_DESCRIBED,194.62,NEW
RET-000093,ORD-002057,SKU-00699,2024-02-23 03:22:39,SIZE_ISSUE,194.62,DAMAGED
RET-000094,ORD-003469,SKU-01344,2023-03-07 12:45:37,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000095,ORD-003792,SKU-00032,2024-11-29 11:42:45,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000096,ORD-004672,SKU-02473,2024-07-27 10:46:41,DAMAGED,194.62,USED
RET-000097,ORD-004120,SKU-02815,2025-07-14 10:02:21,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000098,ORD-000021,SKU-01752,2023-04-27 20:20:21,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000099,ORD-004896,SKU-02930,2024-08-13 21:09:56,NOT_AS_DESCRIBED,194.62,USED
RET-000100,ORD-000858,SKU-00775,2025-08-06 17:24:36,DAMAGED,194.62,NEW
RET-000101,ORD-003216,SKU-02373,2025-07-06 18:25:35,NO_LONGER_NEEDED,194.62,NEW
RET-000102,ORD-001206,SKU-00436,2025-11-01 05:05:09,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000103,ORD-000247,SKU-02683,2023-09-23 02:16:09,DAMAGED,194.62,NEW
RET-000104,ORD-001192,SKU-01929,2025-05-12 07:08:33,NOT_AS_DESCRIBED,194.62,NEW
RET-000105,ORD-001761,SKU-01496,2023-05-15 14:29:33,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000106,ORD-000885,SKU-02858,2024-11-16 19:12:34,NOT_AS_DESCRIBED,194.62,NEW
RET-000107,ORD-001658,SKU-01306,2023-03-05 07:13:11,DAMAGED,194.62,NEW
RET-000108,ORD-002234,SKU-01428,2023-05-12 17:13:56,NOT_AS_DESCRIBED,194.62,USED
RET-000109,ORD-000090,SKU-00682,2025-08-05 17:45:04,SIZE_ISSUE,194.62,USED
RET-000110,ORD-001498,SKU-02132,2025-07-05 19:14:56,DAMAGED,194.62,DAMAGED
RET-000111,ORD-002163,SKU-00757,2024-03-07 09:32:46,NOT_AS_DESCRIBED,194.62,USED
RET-000112,ORD-004949,SKU-02025,2025-01-26 22:30:02,SIZE_ISSUE,194.62,DAMAGED
RET-000113,ORD-002056,SKU-00546,2024-01-15 02:06:47,NO_LONGER_NEEDED,194.62,NEW
RET-000114,ORD-000442,SKU-02596,2025-11-02 22:07:15,NO_LONGER_NEEDED,194.62,NEW
RET-000115,ORD-000017,SKU-02903,2025-11-02 20:42:37,DAMAGED,194.62,USED
RET-000116,ORD-004834,SKU-01349,2023-06-08 10:57:15,NO_LONGER_NEEDED,194.62,USED
RET-000117,ORD-000853,SKU-01576,2025-04-19 01:29:44,NOT_AS_DESCRIBED,194.62,NEW
RET-000118,ORD-001725,SKU-01770,2025-01-06 17:40:20,DAMAGED,194.62,NEW
RET-000119,ORD-000069,SKU-00761,2025-05-12 00:58:46,DAMAGED,194.62,NEW
RET-000120,ORD-004891,SKU-00903,2023-12-10 20:44:42,NOT_AS_DESCRIBED,194.62,NEW
RET-000121,ORD-001295,SKU-02373,2023-03-16 22:38:06,NO_LONGER_NEEDED,194.62,NEW
RET-000122,ORD-002864,SKU-00015,2025-08-09 05:16:14,SIZE_ISSUE,194.62,DAMAGED
RET-000123,ORD-002446,SKU-01308,2024-08-06 09:17:57,NO_LONGER_NEEDED,194.62,NEW
RET-000124,ORD-001531,SKU-00578,2024-07-09 23:53:44,DAMAGED,194.62,USED
RET-000125,ORD-000790,SKU-00918,2023-01-04 10:48:04,NO_LONGER_NEEDED,194.62,NEW
RET-000126,ORD-001183,SKU-00570,2025-11-05 03:27:12,NOT_AS_DESCRIBED,194.62,USED
RET-000127,ORD-000030,SKU-02239,2024-08-05 04:10:44,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000128,ORD-001561,SKU-01679,2024-09-25 14:02:24,NO_LONGER_NEEDED,194.62,USED
RET-000129,ORD-001321,SKU-00931,2024-03-15 18:59:54,DAMAGED,194.62,DAMAGED
RET-000130,ORD-003663,SKU-02819,2024-06-09 03:05:29,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000131,ORD-004926,SKU-00252,2024-04-24 22:31:39,DAMAGED,194.62,DAMAGED
RET-000132,ORD-004528,SKU-00579,2025-08-03 00:02:17,SIZE_ISSUE,194.62,NEW
RET-000133,ORD-000017,SKU-02702,2023-08-11 03:36:54,SIZE_ISSUE,194.62,NEW
RET-000134,ORD-001866,SKU-01952,2025-10-01 02:42:44,SIZE_ISSUE,194.62,NEW
RET-000135,ORD-003825,SKU-02432,2023-06-02 04:15:43,NO_LONGER_NEEDED,194.62,NEW
RET-000136,ORD-004134,SKU-01674,2024-03-13 03:30:10,DAMAGED,194.62,DAMAGED
RET-000137,ORD-004934,SKU-00483,2024-07-11 01:59:44,NOT_AS_DESCRIBED,194.62,NEW
RET-000138,ORD-000892,SKU-02975,2023-07-04 18:48:27,DAMAGED,194.62,DAMAGED
RET-000139,ORD-004055,SKU-01351,2024-05-23 22:41:53,DAMAGED,194.62,USED
RET-000140,ORD-002419,SKU-00481,2025-03-03 21:49:24,NO_LONGER_NEEDED,194.62,NEW
RET-000141,ORD-004297,SKU-00275,2025-08-24 05:09:55,DAMAGED,194.62,USED
RET-000142,ORD-002618,SKU-01391,2025-04-12 18:48:15,DAMAGED,194.62,DAMAGED
RET-000143,ORD-003334,SKU-00648,2023-11-06 21:23:48,SIZE_ISSUE,194.62,NEW
RET-000144,ORD-001140,SKU-00235,2023-01-03 21:45:05,NOT_AS_DESCRIBED,194.62,NEW
RET-000145,ORD-001904,SKU-01975,2024-08-21 02:36:10,SIZE_ISSUE,194.62,USED
RET-000146,ORD-002214,SKU-01485,2023-07-07 17:45:11,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000147,ORD-000532,SKU-02194,2025-06-24 21:44:08,SIZE_ISSUE,194.62,DAMAGED
RET-000148,ORD-004850,SKU-00034,2024-06-30 23:08:32,DAMAGED,194.62,DAMAGED
RET-000149,ORD-004543,SKU-01651,2025-02-18 04:52:44,SIZE_ISSUE,194.62,USED
RET-000150,ORD-001731,SKU-01668,2025-03-17 18:51:45,NO_LONGER_NEEDED,194.62,USED
RET-000151,ORD-002713,SKU-01536,2025-02-25 09:00:44,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000152,ORD-000549,SKU-01126,2024-06-14 21:46:38,NO_LONGER_NEEDED,194.62,NEW
RET-000153,ORD-001537,SKU-00585,2023-03-25 02:17:11,NO_LONGER_NEEDED,194.62,NEW
RET-000154,ORD-000840,SKU-01299,2024-04-17 19:29:37,DAMAGED,194.62,DAMAGED
RET-000155,ORD-001276,SKU-00914,2023-08-15 11:22:33,NOT_AS_DESCRIBED,194.62,USED
RET-000156,ORD-000310,SKU-00400,2025-11-07 07:06:58,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000157,ORD-000049,SKU-02540,2024-12-21 11:36:50,SIZE_ISSUE,194.62,USED
RET-000158,ORD-000105,SKU-00853,2024-02-23 16:18:35,SIZE_ISSUE,194.62,DAMAGED
RET-000159,ORD-004187,SKU-00148,2024-08-09 09:19:37,DAMAGED,194.62,DAMAGED
RET-000160,ORD-002380,SKU-01289,2023-03-25 05:52:28,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000161,ORD-001583,SKU-02157,2025-07-03 08:36:55,DAMAGED,194.62,NEW
RET-000162,ORD-002071,SKU-01113,2023-09-22 04:02:31,DAMAGED,194.62,NEW
RET-000163,ORD-001656,SKU-02792,2024-01-16 04:34:32,NOT_AS_DESCRIBED,194.62,USED
RET-000164,ORD-003771,SKU-00086,2023-08-19 00:14:53,DAMAGED,194.62,USED
RET-000165,ORD-004868,SKU-02633,2025-10-13 05:57:55,NOT_AS_DESCRIBED,194.62,USED
RET-000166,ORD-003839,SKU-02068,2024-01-18 13:22:52,SIZE_ISSUE,194.62,NEW
RET-000167,ORD-002466,SKU-01366,2024-11-14 18:44:21,SIZE_ISSUE,194.62,NEW
RET-000168,ORD-003894,SKU-02947,2023-10-06 20:50:20,NOT_AS_DESCRIBED,194.62,NEW
RET-000169,ORD-002998,SKU-00077,2025-01-05 21:32:04,NOT_AS_DESCRIBED,194.62,USED
RET-000170,ORD-003767,SKU-01087,2024-01-05 23:50:19,DAMAGED,194.62,NEW
RET-000171,ORD-000542,SKU-00379,2025-09-08 05:26:00,DAMAGED,194.62,USED
RET-000172,ORD-002147,SKU-01908,2023-07-15 07:48:21,NOT_AS_DESCRIBED,194.62,NEW
RET-000173,ORD-003086,SKU-00817,2025-03-15 02:59:26,DAMAGED,194.62,DAMAGED
RET-000174,ORD-000622,SKU-01281,2025-05-10 09:09:08,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000175,ORD-004406,SKU-02152,2025-11-25 08:50:23,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000176,ORD-001371,SKU-01901,2023-05-15 08:08:49,SIZE_ISSUE,194.62,DAMAGED
RET-000177,ORD-002304,SKU-01747,2023-08-22 20:00:48,SIZE_ISSUE,194.62,USED
RET-000178,ORD-000909,SKU-02949,2024-09-24 02:12:57,SIZE_ISSUE,194.62,USED
RET-000179,ORD-004305,SKU-01103,2025-09-02 01:51:49,NOT_AS_DESCRIBED,194.62,NEW
RET-000180,ORD-000142,SKU-01449,2023-07-02 05:19:38,SIZE_ISSUE,194.62,NEW
RET-000181,ORD-000002,SKU-02444,2024-07-01 23:40:37,NO_LONGER_NEEDED,194.62,USED
RET-000182,ORD-001528,SKU-01162,2023-05-10 23:43:50,DAMAGED,194.62,DAMAGED
RET-000183,ORD-004267,SKU-02875,2023-09-07 21:47:21,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000184,ORD-001130,SKU-02143,2023-06-21 13:24:10,SIZE_ISSUE,194.62,USED
RET-000185,ORD-002239,SKU-01344,2023-09-05 14:55:53,SIZE_ISSUE,194.62,USED
RET-000186,ORD-001246,SKU-00563,2023-10-28 01:00:22,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000187,ORD-001995,SKU-01522,2025-05-23 21:03:45,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000188,ORD-002614,SKU-02454,2025-09-14 19:26:17,NOT_AS_DESCRIBED,194.62,USED
RET-000189,ORD-000207,SKU-00493,2024-11-16 19:43:12,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000190,ORD-001423,SKU-01141,2024-04-23 03:51:43,DAMAGED,194.62,USED
RET-000191,ORD-001638,SKU-01262,2025-06-24 01:48:16,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000192,ORD-001033,SKU-02834,2025-02-25 21:55:43,SIZE_ISSUE,194.62,USED
RET-000193,ORD-003712,SKU-01393,2023-10-06 03:05:49,NOT_AS_DESCRIBED,194.62,NEW
RET-000194,ORD-003800,SKU-02222,2025-09-06 12:33:27,NO_LONGER_NEEDED,194.62,NEW
RET-000195,ORD-001034,SKU-00061,2023-05-08 08:45:10,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000196,ORD-002927,SKU-02358,2025-06-02 17:53:22,SIZE_ISSUE,194.62,NEW
RET-000197,ORD-002913,SKU-00973,2025-10-29 02:04:39,DAMAGED,194.62,DAMAGED
RET-000198,ORD-002738,SKU-02616,2025-05-02 16:54:45,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000199,ORD-000952,SKU-02311,2025-02-24 16:36:45,SIZE_ISSUE,194.62,USED
RET-000200,ORD-001194,SKU-02020,2024-01-17 03:04:21,DAMAGED,194.62,DAMAGED
RET-000201,ORD-003231,SKU-01438,2024-11-26 09:39:08,NO_LONGER_NEEDED,194.62,NEW
RET-000202,ORD-001644,SKU-02199,2025-01-30 11:38:42,NO_LONGER_NEEDED,194.62,NEW
RET-000203,ORD-003630,SKU-01466,2024-06-04 03:49:08,NO_LONGER_NEEDED,194.62,USED
RET-000204,ORD-003461,SKU-00894,2024-10-17 05:46:25,DAMAGED,194.62,USED
RET-000205,ORD-002897,SKU-02575,2025-06-12 11:04:01,SIZE_ISSUE,194.62,USED
RET-000206,ORD-004570,SKU-00004,2023-11-17 19:15:07,NO_LONGER_NEEDED,194.62,NEW
RET-000207,ORD-001512,SKU-02010,2024-05-17 06:56:48,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000208,ORD-003712,SKU-01392,2023-03-11 18:28:51,SIZE_ISSUE,194.62,NEW
RET-000209,ORD-002108,SKU-00078,2023-05-20 07:06:52,NO_LONGER_NEEDED,194.62,NEW
RET-000210,ORD-000445,SKU-00806,2024-10-06 07:29:47,DAMAGED,194.62,USED
RET-000211,ORD-003513,SKU-01319,2025-11-21 04:14:22,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000212,ORD-004700,SKU-02099,2024-11-28 09:23:15,NO_LONGER_NEEDED,194.62,USED
RET-000213,ORD-002352,SKU-01310,2025-01-10 10:44:35,SIZE_ISSUE,194.62,NEW
RET-000214,ORD-001769,SKU-01493,2023-06-27 04:17:17,NO_LONGER_NEEDED,194.62,NEW
RET-000215,ORD-002831,SKU-00427,2023-03-09 09:53:38,SIZE_ISSUE,194.62,DAMAGED
RET-000216,ORD-003730,SKU-00038,2024-12-22 05:31:35,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000217,ORD-004700,SKU-02658,2024-08-11 07:09:12,DAMAGED,194.62,DAMAGED
RET-000218,ORD-002733,SKU-00616,2025-05-11 09:04:31,SIZE_ISSUE,194.62,NEW
RET-000219,ORD-001979,SKU-02678,2023-01-18 19:46:49,NOT_AS_DESCRIBED,194.62,NEW
RET-000220,ORD-003500,SKU-02145,2023-01-07 11:10:30,NOT_AS_DESCRIBED,194.62,USED
RET-000221,ORD-001518,SKU-02244,2024-12-15 14:42:36,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000222,ORD-002077,SKU-02393,2025-05-31 03:52:46,SIZE_ISSUE,194.62,NEW
RET-000223,ORD-003701,SKU-02173,2025-01-01 05:18:36,DAMAGED,194.62,DAMAGED
RET-000224,ORD-004918,SKU-02801,2024-03-29 10:49:36,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000225,ORD-002159,SKU-00922,2024-11-30 00:27:51,NOT_AS_DESCRIBED,194.62,USED
RET-000226,ORD-004763,SKU-02039,2025-01-18 03:25:25,NO_LONGER_NEEDED,194.62,USED
RET-000227,ORD-002729,SKU-00722,2024-02-15 11:35:37,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000228,ORD-004326,SKU-01860,2025-01-05 12:59:19,DAMAGED,194.62,USED
RET-000229,ORD-000130,SKU-01379,2024-05-05 04:16:14,DAMAGED,194.62,NEW
RET-000230,ORD-004268,SKU-01977,2025-05-06 19:15:40,DAMAGED,194.62,DAMAGED
RET-000231,ORD-000698,SKU-00821,2025-11-03 22:27:43,DAMAGED,194.62,NEW
RET-000232,ORD-004943,SKU-00754,2023-07-31 16:11:54,DAMAGED,194.62,NEW
RET-000233,ORD-002497,SKU-01433,2024-01-04 18:36:17,SIZE_ISSUE,194.62,NEW
RET-000234,ORD-002337,SKU-00668,2023-03-07 03:58:40,DAMAGED,194.62,NEW
RET-000235,ORD-003702,SKU-01013,2024-08-05 05:21:04,NO_LONGER_NEEDED,194.62,USED
RET-000236,ORD-002867,SKU-01084,2023-04-08 14:11:50,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000237,ORD-004033,SKU-00713,2024-07-19 17:02:48,SIZE_ISSUE,194.62,DAMAGED
RET-000238,ORD-003095,SKU-02362,2023-03-24 15:13:16,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000239,ORD-003064,SKU-02580,2024-06-15 16:54:22,DAMAGED,194.62,USED
RET-000240,ORD-000258,SKU-01829,2024-12-29 09:38:18,NOT_AS_DESCRIBED,194.62,USED
RET-000241,ORD-000758,SKU-02285,2023-05-26 12:38:21,NO_LONGER_NEEDED,194.62,NEW
RET-000242,ORD-004457,SKU-02666,2025-09-15 06:10:52,NO_LONGER_NEEDED,194.62,NEW
RET-000243,ORD-000174,SKU-00484,2024-10-08 01:37:02,DAMAGED,194.62,DAMAGED
RET-000244,ORD-004221,SKU-01966,2023-07-01 13:13:27,NOT_AS_DESCRIBED,194.62,USED
RET-000245,ORD-002322,SKU-01327,2025-06-17 18:12:47,NOT_AS_DESCRIBED,194.62,NEW
RET-000246,ORD-003893,SKU-01463,2024-04-19 05:54:35,NO_LONGER_NEEDED,194.62,USED
RET-000247,ORD-001769,SKU-00086,2023-12-26 13:43:28,NO_LONGER_NEEDED,194.62,USED
RET-000248,ORD-004600,SKU-01045,2025-09-03 10:49:09,NO_LONGER_NEEDED,194.62,NEW
RET-000249,ORD-003824,SKU-01780,2024-04-30 15:14:19,NO_LONGER_NEEDED,194.62,NEW
RET-000250,ORD-000473,SKU-02879,2024-04-18 18:06:03,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000251,ORD-004711,SKU-00434,2023-06-06 14:41:32,NO_LONGER_NEEDED,194.62,NEW
RET-000252,ORD-004496,SKU-00693,2023-09-24 18:04:37,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000253,ORD-002230,SKU-00872,2023-07-03 03:26:25,SIZE_ISSUE,194.62,NEW
RET-000254,ORD-004295,SKU-00400,2025-10-01 00:07:04,DAMAGED,194.62,NEW
RET-000255,ORD-001756,SKU-00019,2023-11-14 15:00:01,NOT_AS_DESCRIBED,194.62,DAMAGED
RET-000256,ORD-002598,SKU-00978,2023-01-30 12:16:41,DAMAGED,194.62,NEW
RET-000257,ORD-004501,SKU-02867,2023-02-18 18:45:18,NO_LONGER_NEEDED,194.62,NEW
RET-000258,ORD-002199,SKU-00363,2023-07-25 17:16:54,NO_LONGER_NEEDED,194.62,DAMAGED
RET-000259,ORD-000701,SKU-02350,2023-07-21 19:06:18,DAMAGED,194.62,NEW
