sku_id,forecast_date,predicted_demand,lower_bound,upper_bound
SKU-01165,2025-10-24,791,695,816
SKU-01943,2023-10-18,443,427,482
SKU-02845,2024-01-28,902,868,935
SKU-02499,2025-10-24,256,208,293
SKU-00198,2023-09-25,59,23,99
SKU-01146,2025-04-09,961,943,973
SKU-01483,2024-07-01,815,732,821
SKU-01489,2024-03-15,841,773,841
SKU-00745,2023-02-17,851,849,947
SKU-01348,2023-02-10,503,433,600
SKU-01964,2024-08-31,98,48,176
SKU-02040,2025-02-25,944,920,945
SKU-01156,2024-09-15,6,0,76
SKU-00061,2024-08-16,596,546,646
SKU-01981,2023-05-10,431,389,476
SKU-02534,2025-03-26,30,0,55
SKU-01231,2024-03-23,562,554,600
SKU-02402,2025-02-17,208,124,232
SKU-01284,2024-08-27,187,136,196
SKU-01379,2023-12-23,203,160,276
SKU-02686,2025-10-19,839,828,912
SKU-01045,2024-02-08,59,46,96
SKU-00022,2025-06-21,223,185,314
SKU-00467,2023-11-15,78,77,171
SKU-00649,2025-05-04,330,269,364
SKU-01532,2025-05-26,194,142,245
SKU-01644,2024-06-17,568,541,594
SKU-02014,2025-03-20,229,179,300
SKU-00493,2025-11-13,478,455,529
SKU-00203,2024-05-08,919,869,991
SKU-02660,2023-09-06,241,159,314
SKU-02900,2024-02-26,406,393,465
SKU-00794,2025-02-07,91,73,111
SKU-02441,2025-03-25,838,801,926
SKU-02231,2023-12-24,886,864,933
SKU-02005,2025-08-09,287,242,381
SKU-01897,2023-05-14,477,462,542
SKU-02101,2025-02-28,582,512,637
SKU-01811,2025-03-02,482,466,539
SKU-02499,2023-05-12,508,479,526
SKU-00136,2023-11-12,377,370,406
SKU-00843,2025-08-06,816,779,896
SKU-00021,2023-09-11,429,370,457
SKU-02474,2025-01-02,807,797,810
SKU-02343,2025-07-26,755,703,827
SKU-00106,2023-06-29,73,35,91
SKU-00427,2025-08-13,52,24,53
SKU-00208,2025-01-08,189,141,206
SKU-02611,2023-03-01,642,581,707
SKU-01815,2025-01-24,513,449,539
SKU-02495,2024-03-10,181,153,279
SKU-02859,2024-08-06,101,28,152
SKU-00883,2023-11-13,562,491,576
SKU-00173,2023-08-11,866,836,917
SKU-01501,2024-01-25,485,406,548
SKU-00262,2024-10-30,557,552,603
SKU-02937,2025-04-18,734,637,811
SKU-02210,2025-01-19,18,0,18
SKU-01670,2025-09-26,661,567,665
SKU-02786,2025-06-28,914,864,948
SKU-00752,2024-12-13,660,647,716
SKU-01918,2025-10-03,794,779,882
SKU-01846,2024-01-19,499,459,594
SKU-00852,2023-04-19,638,555,713
SKU-01051,2025-02-19,660,619,697
SKU-00043,2024-12-13,591,570,683
SKU-01742,2024-10-26,438,345,457
SKU-02318,2025-05-18,540,499,587
SKU-02055,2025-11-30,288,245,354
SKU-02769,2025-11-25,458,376,502
SKU-01284,2023-09-13,265,186,314
SKU-00923,2024-07-11,404,328,492
SKU-02657,2023-05-05,144,85,218
SKU-00781,2023-04-14,825,756,918
SKU-00272,2025-11-12,190,95,285
SKU-02976,2025-08-21,445,388,473
SKU-00105,2025-03-10,841,795,912
SKU-02784,2025-09-03,860,839,933
SKU-00343,2023-05-27,773,753,852
SKU-01320,2024-11-23,649,559,706
SKU-02950,2024-08-23,813,736,904
SKU-01063,2024-01-13,326,290,400
SKU-01598,2023-03-20,522,493,563
SKU-01890,2024-03-16,938,863,997
SKU-00363,2025-04-05,953,928,1028
SKU-00985,2024-03-02,234,227,297
SKU-00952,2024-04-20,37,0,79
SKU-00321,2024-02-08,487,438,527
SKU-00224,2023-02-17,406,334,467
SKU-02330,2024-10-22,45,27,82
SKU-00126,2025-02-22,636,574,716
SKU-00834,2024-02-17,799,753,889
SKU-01936,2024-05-01,728,639,797
SKU-02009,2024-10-20,113,28,162
SKU-02283,2024-06-19,962,937,997
SKU-00679,2024-11-30,731,650,759
SKU-00639,2025-10-15,136,37,143
SKU-01808,2023-12-04,259,256,297
SKU-00834,2023-02-09,49,0,120
SKU-02877,2024-06-16,964,928,1045
SKU-00038,2025-11-29,76,0,91
SKU-02185,2025-02-14,72,41,158
SKU-00451,2025-05-05,14,0,53
SKU-00970,2024-07-27,361,333,374
SKU-01790,2024-12-28,442,379,460
SKU-01575,2024-04-28,881,879,951
SKU-01218,2023-08-14,980,977,1014
SKU-00895,2025-01-18,19,0,95
SKU-01703,2024-07-20,746,737,793
SKU-02250,2024-06-29,707,682,763
SKU-00226,2023-04-01,875,787,964
SKU-00635,2025-01-23,995,956,1064
SKU-01495,2023-08-27,986,966,1028
SKU-02430,2025-01-05,565,487,617
SKU-00792,2023-08-24,908,879,951
SKU-02684,2024-09-19,764,709,831
SKU-00684,2024-02-15,776,750,786
SKU-00911,2024-06-25,395,303,418
SKU-01257,2024-04-19,151,102,244
SKU-02469,2025-03-20,539,473,547
SKU-02401,2024-02-28,774,759,835
SKU-00598,2023-11-16,47,27,116
SKU-00178,2024-11-28,103,61,179
SKU-00473,2024-10-03,14,0,113
SKU-02359,2025-05-01,16,0,87
SKU-02492,2025-06-11,690,624,762
SKU-02920,2023-03-23,328,243,359
SKU-01433,2023-10-27,225,148,319
SKU-00195,2024-11-21,485,440,526
SKU-00787,2023-07-27,423,397,478
SKU-00145,2024-04-15,834,812,868
SKU-02593,2023-08-20,673,605,755
SKU-02779,2024-03-18,625,624,645
SKU-02323,2025-02-09,877,795,942
SKU-00932,2025-08-27,645,619,732
SKU-02218,2024-11-25,203,194,294
SKU-02646,2023-06-20,775,686,791
SKU-00194,2024-05-15,154,57,245
SKU-00895,2024-05-26,845,780,902
SKU-00013,2025-07-02,597,578,606
SKU-01906,2024-01-05,616,568,692
SKU-02921,2024-10-26,69,32,126
SKU-01448,2024-03-12,732,699,827
SKU-02297,2023-03-19,491,432,587
SKU-00748,2024-10-12,751,678,802
SKU-02449,2025-01-21,261,257,347
SKU-01036,2024-04-05,429,354,454
SKU-01625,2024-03-29,44,0,143
SKU-00332,2023-05-05,423,407,459
SKU-02159,2025-04-10,899,801,936
SKU-00427,2025-01-28,767,710,780
SKU-01207,2025-11-01,167,134,243
SKU-00864,2024-09-24,279,247,331
SKU-01944,2025-01-07,959,938,986
SKU-00261,2024-04-03,945,851,1033
SKU-01205,2023-01-04,564,479,582
SKU-01692,2025-01-07,402,356,456
SKU-02858,2024-12-13,234,231,310
SKU-02156,2023-01-02,698,663,745
SKU-01881,2023-07-28,18,0,57
SKU-01613,2025-04-16,351,312,397
SKU-01013,2023-08-22,293,225,349
SKU-01235,2025-06-18,379,366,433
SKU-00692,2024-10-17,370,354,404
SKU-00640,2025-03-28,359,306,425
SKU-01116,2025-06-17,916,842,983
SKU-02550,2025-05-23,36,0,79
SKU-01047,2025-04-01,342,250,417
SKU-00431,2024-08-04,696,630,782
SKU-02937,2023-08-12,814,745,881
SKU-02853,2025-05-24,208,125,276
SKU-00368,2025-11-17,798,724,831
SKU-02509,2023-04-26,490,395,569
SKU-00562,2023-01-12,549,519,570
SKU-02420,2024-01-28,514,481,602
SKU-01509,2025-02-10,994,923,1017
SKU-00307,2024-06-08,904,899,946
SKU-00035,2024-11-04,430,415,436
SKU-02505,2025-06-11,956,954,966
SKU-00863,2024-07-14,378,339,413
SKU-02855,2025-10-19,331,282,362
SKU-01825,2025-08-27,648,588,651
SKU-02878,2024-12-05,942,914,1025
SKU-01889,2025-05-15,158,128,182
SKU-02709,2023-09-26,852,813,936
SKU-00580,2025-11-23,295,226,332
SKU-01874,2025-08-13,102,60,123
SKU-01740,2023-11-04,304,213,396
SKU-00838,2025-03-21,355,268,453
SKU-00765,2025-11-20,819,806,864
SKU-01182,2023-04-29,756,726,846
SKU-02098,2025-07-31,297,272,297
SKU-01395,2025-11-12,994,923,1021
SKU-01848,2025-08-13,597,574,617
SKU-02260,2023-10-01,5,0,78
SKU-01191,2024-02-22,270,261,307
SKU-01073,2023-10-08,27,0,55
SKU-00948,2025-05-07,433,338,452
SKU-00764,2023-02-18,703,641,773
SKU-00982,2023-01-30,202,195,234
SKU-01917,2023-11-06,649,598,725
SKU-02482,2023-10-23,294,276,310
SKU-02370,2024-06-02,990,915,1062
SKU-02498,2024-07-22,787,709,802
SKU-01257,2024-09-04,636,596,642
SKU-01164,2023-12-05,259,214,298
SKU-00249,2023-09-12,173,163,233
SKU-00533,2025-11-30,971,927,1031
SKU-02841,2023-09-14,666,569,734
SKU-00302,2024-01-24,432,380,483
SKU-02272,2025-10-27,517,501,528
SKU-00292,2023-01-21,948,921,997
SKU-01154,2023-11-24,498,485,511
SKU-02800,2024-08-01,291,268,334
SKU-01090,2023-05-04,484,441,510
SKU-02455,2024-08-24,630,546,678
SKU-02825,2023-12-03,533,496,586
SKU-00400,2023-09-17,246,224,319
SKU-01920,2024-04-02,728,658,797
SKU-02076,2024-10-17,373,326,456
SKU-02287,2023-11-04,956,902,1004
SKU-00328,2023-01-07,287,197,310
SKU-00681,2024-02-25,947,859,1037
SKU-00263,2025-04-09,588,557,656
SKU-00473,2025-06-30,51,0,94
SKU-00805,2023-06-18,972,965,1022
SKU-02481,2024-01-17,308,288,359
SKU-00612,2024-02-21,365,270,437
SKU-00360,2023-03-30,925,898,995
SKU-00277,2025-02-05,156,90,163
SKU-00256,2023-07-29,864,829,907
SKU-00439,2024-03-02,315,223,388
SKU-02143,2024-02-17,30,0,54
SKU-01107,2023-08-12,926,902,964
SKU-01894,2025-04-11,157,126,189
SKU-02731,2025-05-16,589,505,661
SKU-02397,2025-07-26,662,638,704
SKU-01671,2024-02-22,483,416,523
SKU-00260,2024-09-19,480,397,574
SKU-01644,2025-01-22,539,459,593
SKU-02609,2025-08-31,248,207,339
SKU-02416,2024-12-31,167,102,240
SKU-00874,2024-06-19,287,271,294
SKU-01462,2023-02-16,236,138,298
SKU-00440,2024-04-25,503,491,557
SKU-01069,2023-03-04,857,814,954
SKU-02406,2025-07-08,707,631,758
SKU-00337,2025-07-12,790,727,860
SKU-02558,2023-08-04,653,620,686
SKU-00779,2025-01-15,608,541,701
SKU-02539,2025-10-13,964,914,989
SKU-01437,2025-06-15,201,103,259
SKU-02912,2024-02-10,633,578,664
SKU-01425,2024-05-06,328,314,358
SKU-00769,2024-01-23,775,685,798
SKU-02656,2023-05-25,716,661,737
SKU-00289,2025-03-10,184,180,264
SKU-02178,2024-12-20,460,406,554
SKU-02362,2023-12-29,687,678,770
SKU-01753,2023-07-21,1,0,5
SKU-02964,2024-11-10,469,412,567
SKU-00456,2023-07-30,289,266,369
SKU-00268,2024-05-13,565,545,612
SKU-00615,2023-12-30,819,786,826
SKU-00118,2025-06-28,228,134,278
SKU-01260,2023-07-16,484,444,522
SKU-02806,2025-10-29,651,572,683
SKU-02301,2023-06-16,54,28,84
SKU-02373,2023-11-04,68,0,84
SKU-00127,2024-02-13,873,811,886
SKU-01941,2023-10-18,45,0,69
SKU-02319,2025-07-21,672,605,755
SKU-02439,2025-03-15,597,545,670
SKU-02785,2025-03-22,795,737,842
SKU-02585,2023-03-01,632,604,648
SKU-00190,2023-12-29,10,1,101
SKU-01962,2025-05-06,694,633,784
SKU-00173,2025-01-25,676,584,754
SKU-02315,2024-03-06,278,228,359
SKU-01938,2023-02-06,867,839,946
SKU-00023,2025-04-02,970,943,1065
SKU-01756,2024-09-07,294,230,390
SKU-00912,2023-05-27,214,158,284
SKU-00547,2025-04-20,588,532,684
SKU-00787,2023-09-27,982,917,1030
SKU-00638,2024-07-11,568,565,569
SKU-01676,2025-08-22,333,325,359
SKU-01673,2024-02-11,224,221,317
SKU-01800,2025-11-04,883,844,906
SKU-01217,2025-08-27,272,244,356
SKU-02441,2024-02-20,526,434,625
SKU-00051,2025-07-28,376,345,453
SKU-00248,2024-01-23,380,336,382
SKU-02021,2025-07-22,70,0,166
SKU-02933,2025-11-17,293,274,296
SKU-00936,2023-03-08,752,724,780
SKU-02122,2023-03-05,861,781,928
SKU-02729,2025-11-21,880,788,898
SKU-01122,2024-07-22,923,904,960
SKU-00518,2023-09-15,981,888,1080
SKU-01824,2024-08-30,834,803,889
SKU-00186,2024-09-02,576,491,608
SKU-00863,2025-06-16,258,230,349
SKU-00957,2023-02-28,739,697,800
SKU-00790,2023-11-28,351,265,440
SKU-02521,2023-02-05,589,584,648
SKU-00376,2025-06-09,866,852,957
SKU-01818,2024-05-02,149,54,246
SKU-02309,2023-02-24,661,582,733
SKU-02859,2023-05-05,347,340,431
SKU-02208,2025-05-22,516,494,577
SKU-01615,2024-12-08,852,838,949
SKU-01484,2024-02-29,452,420,461
SKU-00792,2024-02-09,432,358,492
SKU-00756,2024-10-27,900,844,941
SKU-02663,2023-03-06,598,510,668
SKU-02480,2024-12-12,834,795,898
SKU-01496,2024-09-29,130,52,197
SKU-02285,2025-04-07,520,512,608
SKU-01729,2025-03-11,904,872,921
SKU-01108,2025-07-27,665,589,736
SKU-01062,2025-07-15,394,370,433
SKU-00610,2025-07-14,313,262,384
SKU-00703,2023-04-18,680,591,706
SKU-02449,2024-09-30,671,645,720
SKU-01495,2023-04-17,146,94,148
SKU-00419,2025-03-09,732,684,735
SKU-02174,2025-10-30,597,536,644
SKU-02001,2024-02-19,438,364,531
SKU-01878,2024-11-07,582,485,676
SKU-02657,2025-05-27,860,763,862
SKU-00122,2024-09-11,13,0,99
SKU-02085,2025-09-09,16,8,89
SKU-00414,2024-04-09,742,690,828
SKU-01444,2025-09-04,139,50,212
SKU-02709,2024-07-28,440,385,512
SKU-00924,2025-07-01,730,664,770
SKU-01904,2023-09-15,136,54,176
SKU-01605,2025-06-23,652,618,736
SKU-00144,2023-06-27,450,386,481
SKU-01241,2024-10-02,975,902,982
SKU-02247,2023-09-16,373,327,406
SKU-00539,2025-03-21,672,585,709
SKU-02483,2023-05-15,196,160,213
SKU-01778,2025-11-05,854,755,948
SKU-01438,2025-10-01,678,604,678
SKU-00763,2023-05-03,674,640,730
SKU-02926,2023-04-25,270,238,353
SKU-02052,2024-10-19,292,252,307
SKU-01112,2025-03-18,271,179,272
SKU-01879,2023-11-22,815,775,872
SKU-00359,2024-03-13,644,547,668
SKU-00844,2024-03-09,231,182,314
SKU-01006,2024-11-30,15,0,114
SKU-00812,2024-04-27,688,678,702
SKU-02741,2024-09-24,515,451,526
SKU-02683,2023-11-12,136,96,151
SKU-00468,2025-11-01,122,68,188
SKU-02669,2023-03-21,140,74,195
SKU-01540,2023-06-17,982,945,1041
SKU-00863,2024-01-19,67,0,71
SKU-02814,2023-04-08,626,570,642
SKU-00563,2024-05-09,471,382,528
SKU-01535,2025-04-11,46,0,130
SKU-00228,2024-05-20,817,816,821
SKU-01159,2024-07-07,92,19,108
SKU-00137,2024-10-12,94,42,169
SKU-02482,2025-09-23,638,631,716
SKU-02492,2024-06-11,970,908,1058
SKU-02870,2023-12-05,641,637,676
SKU-02793,2023-05-31,94,20,159
SKU-00870,2023-05-09,179,104,266
SKU-00055,2023-06-21,332,257,380
SKU-02865,2024-04-26,222,160,303
SKU-01660,2024-02-29,279,250,297
SKU-01936,2025-05-16,138,69,168
SKU-00891,2023-11-24,174,110,208
SKU-02591,2023-11-18,971,902,1007
SKU-02268,2024-07-21,717,698,730
SKU-00088,2023-03-08,959,950,1022
SKU-02448,2024-03-17,443,411,525
SKU-02004,2024-03-10,87,0,87
SKU-01187,2025-10-27,553,550,576
SKU-01531,2023-12-02,418,403,454
SKU-00802,2025-03-25,635,544,658
SKU-02998,2025-11-23,710,680,790
SKU-00595,2024-10-08,337,328,393
SKU-00902,2023-12-14,90,32,170
SKU-00326,2025-09-10,445,381,488
SKU-02921,2025-04-05,511,472,566
SKU-01269,2024-03-29,729,689,808
SKU-01428,2025-01-06,654,634,654
SKU-01548,2024-10-05,802,775,806
SKU-02726,2024-03-11,594,586,638
SKU-00961,2025-08-28,695,675,697
SKU-02369,2023-08-11,314,234,372
SKU-02691,2023-08-29,965,903,1020
SKU-02797,2025-06-30,37,0,64
SKU-02575,2025-11-09,765,759,851
SKU-01918,2024-04-05,361,313,426
SKU-02681,2024-08-12,603,585,631
SKU-00105,2025-08-19,238,236,249
SKU-02163,2025-05-29,259,178,267
SKU-02149,2023-10-12,179,94,216
SKU-00465,2024-06-09,291,282,386
SKU-02227,2023-05-22,680,598,753
SKU-02732,2023-01-05,78,56,127
SKU-00777,2025-04-26,708,641,787
SKU-00596,2024-07-18,639,629,720
SKU-00344,2023-07-15,904,822,917
SKU-02853,2023-01-25,215,165,231
SKU-02642,2023-01-16,436,417,527
SKU-01652,2025-07-12,885,866,929
SKU-02448,2025-07-18,137,83,220
SKU-02422,2023-10-29,627,605,711
SKU-00978,2023-09-02,609,520,670
SKU-01862,2025-06-02,421,414,429
SKU-02878,2024-06-14,841,838,938
SKU-00572,2023-12-12,29,16,35
SKU-02421,2025-09-24,942,878,1011
SKU-02101,2025-08-23,48,0,52
SKU-00438,2024-10-16,175,157,252
SKU-02440,2025-02-26,208,182,236
SKU-01199,2023-09-16,244,228,247
SKU-01149,2025-08-13,881,855,892
SKU-00465,2023-04-27,577,536,586
SKU-00193,2025-09-27,557,542,606
SKU-02877,2023-12-22,572,485,575
SKU-02888,2024-09-15,117,41,117
SKU-01426,2025-03-26,88,0,135
SKU-02394,2025-11-28,799,750,836
SKU-02336,2023-02-28,926,829,998
SKU-01425,2025-06-27,899,894,919
SKU-00083,2025-03-31,751,654,775
SKU-01215,2025-09-15,645,588,657
SKU-00911,2024-12-17,816,803,871
SKU-02889,2025-08-04,741,666,826
SKU-01512,2024-03-20,93,57,116
SKU-00786,2025-06-10,494,419,529
SKU-00679,2025-11-10,761,740,810
SKU-00117,2023-07-14,352,331,442
SKU-02258,2024-08-14,929,884,964
SKU-01945,2025-11-01,968,911,978
SKU-01676,2025-03-20,643,584,671
SKU-00759,2025-08-29,599,593,608
SKU-02984,2025-09-16,974,911,1011
SKU-00082,2024-10-15,371,277,451
SKU-01666,2025-01-21,544,449,579
SKU-00976,2024-03-04,211,193,286
SKU-00283,2023-11-13,846,820,865
SKU-02569,2024-07-03,615,523,648
SKU-01795,2025-02-06,627,592,686
SKU-02362,2024-08-28,403,387,438
SKU-02976,2023-04-10,974,962,1063
SKU-00536,2024-11-29,692,663,735
SKU-00542,2024-05-11,179,106,237
SKU-01596,2024-05-28,782,736,828
SKU-00352,2023-01-08,453,453,472
SKU-02787,2024-04-06,415,377,509
SKU-00543,2024-06-25,184,87,221
SKU-01179,2023-06-24,463,403,473
SKU-01913,2025-07-01,498,413,565
SKU-00106,2025-05-15,256,187,336
SKU-02714,2024-06-29,143,114,209
SKU-01937,2023-04-24,695,693,734
SKU-01887,2023-11-04,547,527,580
SKU-02865,2025-03-19,72,19,95
SKU-00655,2023-10-17,948,858,1026
SKU-00912,2025-01-23,208,180,264
SKU-01531,2025-02-14,165,120,230
SKU-01883,2024-06-24,862,816,891
SKU-00111,2025-09-15,683,609,764
SKU-01532,2024-03-14,55,43,107
SKU-01301,2023-08-28,743,660,781
SKU-01130,2024-06-10,9,0,47
SKU-02035,2023-08-26,379,288,451
SKU-00506,2025-04-18,375,358,427
SKU-02877,2023-01-01,378,284,450
SKU-01157,2023-10-22,839,820,894
SKU-00842,2025-05-12,752,708,775
SKU-00986,2023-04-28,26,13,73
SKU-01436,2025-04-30,221,150,273
SKU-02429,2025-08-02,721,632,757
SKU-02673,2025-05-15,404,361,487
SKU-01952,2025-10-27,135,115,178
SKU-02055,2025-11-29,573,551,609
SKU-00198,2024-06-20,656,587,707
SKU-02726,2025-07-10,954,872,1040
SKU-01040,2023-10-08,41,16,131
SKU-00979,2025-05-02,758,756,768
SKU-00665,2025-01-11,251,186,304
SKU-01145,2024-12-20,15,0,107
SKU-01075,2023-04-15,742,730,834
SKU-01872,2023-04-09,220,207,274
SKU-02115,2023-04-07,665,592,739
SKU-02039,2025-07-22,141,49,183
SKU-00180,2024-06-14,672,581,746
SKU-02581,2024-07-06,742,659,837
SKU-02029,2023-04-16,405,400,452
SKU-02551,2025-10-27,643,623,690
SKU-01056,2023-01-29,728,655,777
SKU-02068,2023-07-02,863,793,951
SKU-02641,2024-02-04,158,156,240
SKU-02489,2024-05-21,221,164,245
SKU-02789,2023-12-07,572,561,631
SKU-02703,2023-12-27,339,293,421
SKU-01574,2024-05-08,993,911,1011
SKU-00101,2025-03-28,451,361,539
SKU-01339,2025-03-10,227,211,297
SKU-01662,2023-01-01,392,373,407
SKU-01997,2025-08-13,38,0,64
SKU-01164,2025-08-08,927,917,959
SKU-01643,2024-02-19,282,196,294
SKU-00661,2023-08-15,900,810,978
SKU-02341,2024-08-23,758,729,775
SKU-02395,2023-04-15,351,259,355
SKU-00077,2023-03-03,27,0,77
SKU-02268,2024-07-26,427,362,497
SKU-00884,2023-10-13,851,851,900
SKU-02945,2024-02-05,53,35,86
SKU-02967,2023-10-26,45,0,58
SKU-00787,2024-02-13,944,920,975
SKU-02700,2023-07-27,483,415,502
SKU-02674,2024-06-27,853,828,938
SKU-01018,2025-09-04,547,509,578
SKU-02929,2023-10-07,165,141,204
SKU-01246,2023-07-08,345,247,384
SKU-01062,2023-12-17,196,190,216
