sku_id,sku_name,category,subcategory,unit_of_measure,standard_cost,list_price,active_flag
SKU-00060,Product 60,Electronics,Premium,EA,60.26,164.66,True
SKU-00061,Product 61,Tools,Budget,PACK,112.11,163.7,False
SKU-00062,Product 62,Electronics,Premium,BOX,86.97,32.89,True
SKU-00063,Product 63,Home,Premium,EA,196.96,55.16,True
SKU-00064,Product 64,Electronics,Standard,BOX,11.14,49.41,True
SKU-00065,Product 65,Electronics,Standard,BOX,153.83,159.53,True
SKU-00066,Product 66,Apparel,Budget,PACK,5.78,239.62,True
SKU-00067,Product 67,Home,Budget,EA,121.18,78.05,True
SKU-00068,Product 68,Apparel,Premium,EA,86.76,414.84,True
SKU-00069,Product 69,Home,Premium,BOX,182.18,37.48,False
SKU-00070,Product 70,Apparel,Budget,EA,108.33,472.93,True
SKU-00071,Product 71,Home,Premium,EA,165.64,41.84,True
SKU-00072,Product 72,Home,Premium,EA,134.76,447.86,True
SKU-00073,Product 73,Tools,Budget,EA,89.96,134.05,True
SKU-00074,Product 74,Home,Budget,PACK,68.2,493.44,True
SKU-00075,Product 75,Electronics,Budget,BOX,24.29,263.06,True
SKU-00076,Product 76,Tools,Standard,BOX,3.69,14.06,True
SKU-00077,Product 77,Apparel,Budget,EA,1.28,144.92,True
SKU-00078,Product 78,Electronics,Standard,EA,45.96,470.38,True
SKU-00079,Product 79,Electronics,Budget,BOX,112.62,153.33,True
SKU-00080,Product 80,Home,Budget,BOX,195.12,183.01,True
SKU-00081,Product 81,Home,Standard,PACK,141.34,26.85,True
SKU-00082,Product 82,Electronics,Standard,EA,15.07,130.36,True
SKU-00083,Product 83,Tools,Premium,BOX,129.4,133.36,True
SKU-00084,Product 84,Electronics,Premium,PACK,97.61,359.41,False
SKU-00085,Product 85,Electronics,Premium,PACK,127.6,255.36,True
SKU-00086,Product 86,Home,Standard,EA,125.02,84.7,True
SKU-00087,Product 87,Home,Budget,PACK,29.65,398.82,True
SKU-00088,Product 88,Home,Standard,PACK,183.97,307.7,True
SKU-00089,Product 89,Apparel,Budget,PACK,111.35,137.89,True
SKU-00090,Product 90,Electronics,Budget,PACK,140.45,115.77,False
SKU-00091,Product 91,Electronics,Budget,PACK,78.03,462.83,True
SKU-00092,Product 92,Apparel,Premium,EA,25.34,320.34,True
SKU-00093,Product 93,Electronics,Standard,EA,138.5,404.67,True
SKU-00094,Product 94,Electronics,Standard,EA,188.56,116.63,True
SKU-00095,Product 95,Electronics,Premium,EA,116.65,296.42,True
SKU-00096,Product 96,Tools,Budget,BOX,40.53,31.48,True
SKU-00097,Product 97,Apparel,Premium,EA,125.03,299.39,True
SKU-00098,Product 98,Apparel,Budget,EA,86.36,105.77,True
SKU-00099,Product 99,Electronics,Premium,EA,80.41,336.2,True
SKU-00100,Product 100,Home,Standard,PACK,182.79,466.32,True
SKU-00101,Product 101,Electronics,Premium,PACK,147.68,232.06,True
SKU-00102,Product 102,Electronics,Standard,PACK,102.25,156.17,True
SKU-00103,Product 103,Tools,Budget,EA,84.08,66.02,True
SKU-00104,Product 104,Tools,Premium,BOX,49.34,336.94,True
SKU-00105,Product 105,Home,Premium,BOX,69.35,294.17,True
SKU-00106,Product 106,Tools,Premium,EA,108.58,274.56,True
SKU-00107,Product 107,Electronics,Premium,BOX,10.62,468.3,True
SKU-00108,Product 108,Electronics,Standard,BOX,72.15,489.19,True
SKU-00109,Product 109,Tools,Standard,EA,99.32,359.91,True
SKU-00110,Product 110,Tools,Premium,PACK,122.05,102.01,True
SKU-00111,Product 111,Apparel,Standard,BOX,148.88,473.65,True
SKU-00112,Product 112,Electronics,Premium,PACK,3.75,175.74,True
SKU-00113,Product 113,Home,Standard,EA,59.67,44.18,True
SKU-00114,Product 114,Tools,Standard,PACK,52.93,124.34,True
SKU-00115,Product 115,Tools,Standard,BOX,104.73,416.04,True
SKU-00116,Product 116,Apparel,Premium,PACK,93.74,105.86,True
SKU-00117,Product 117,Apparel,Premium,PACK,16.9,200.56,True
SKU-00118,Product 118,Tools,Standard,PACK,152.51,140.39,False
SKU-00119,Product 119,Home,Budget,EA,137.77,28.67,True
SKU-00120,Product 120,Home,Standard,EA,164.41,283.05,True
SKU-00121,Product 121,Tools,Premium,EA,23.1,316.23,True
SKU-00122,Product 122,Apparel,Budget,EA,101.74,396.62,True
SKU-00123,Product 123,Electronics,Premium,PACK,121.14,210.26,True
SKU-00124,Product 124,Electronics,Budget,BOX,10.74,74.96,True
SKU-00125,Product 125,Apparel,Budget,PACK,191.92,327.82,True
SKU-00126,Product 126,Electronics,Premium,PACK,159.09,445.58,True
SKU-00127,Product 127,Apparel,Standard,PACK,49.49,64.31,True
SKU-00128,Product 128,Home,Premium,BOX,126.12,95.4,True
SKU-00129,Product 129,Electronics,Premium,BOX,29.53,167.95,True
SKU-00130,Product 130,Tools,Standard,BOX,174.77,326.9,True
SKU-00131,Product 131,Tools,Standard,PACK,20.57,264.29,True
SKU-00132,Product 132,Electronics,Budget,EA,180.91,357.62,True
SKU-00133,Product 133,Tools,Budget,EA,165.74,20.51,True
SKU-00134,Product 134,Apparel,Standard,PACK,96.17,406.18,True
SKU-00135,Product 135,Apparel,Premium,EA,130.87,493.8,True
SKU-00136,Product 136,Tools,Standard,EA,49.92,28.1,False
SKU-00137,Product 137,Electronics,Standard,PACK,77.49,250.23,True
SKU-00138,Product 138,Electronics,Standard,PACK,44.27,371.26,True
SKU-00139,Product 139,Electronics,Premium,EA,106.0,240.82,True
SKU-00140,Product 140,Home,Premium,PACK,64.42,298.51,False
SKU-00141,Product 141,Electronics,Budget,EA,70.96,460.86,True
SKU-00142,Product 142,Electronics,Standard,BOX,89.11,272.22,True
SKU-00143,Product 143,Apparel,Standard,BOX,174.65,122.11,True
SKU-00144,Product 144,Home,Premium,PACK,110.18,370.62,True
SKU-00145,Product 145,Apparel,Standard,EA,161.51,190.84,True
SKU-00146,Product 146,Tools,Premium,BOX,169.86,146.13,True
SKU-00147,Product 147,Tools,Budget,PACK,49.84,127.96,True
SKU-00148,Product 148,Electronics,Budget,BOX,155.76,44.28,True
SKU-00149,Product 149,Home,Budget,BOX,130.08,466.79,True
SKU-00150,Product 150,Tools,Premium,PACK,101.97,283.86,True
SKU-00151,Product 151,Electronics,Premium,BOX,18.64,477.77,True
SKU-00152,Product 152,Home,Standard,PACK,114.9,431.59,True
SKU-00153,Product 153,Tools,Budget,PACK,31.92,19.96,True
SKU-00154,Product 154,Tools,Premium,BOX,163.43,127.41,True
SKU-00155,Product 155,Home,Budget,BOX,186.99,161.1,True
SKU-00156,Product 156,Home,Budget,EA,96.14,247.46,True
SKU-00157,Product 157,Home,Budget,BOX,88.66,359.48,True
SKU-00158,Product 158,Home,Standard,EA,98.27,341.98,True
SKU-00159,Product 159,Tools,Premium,PACK,14.37,493.7,True
SKU-00160,Product 160,Home,Premium,BOX,48.16,462.04,True
SKU-00161,Product 161,Apparel,Premium,BOX,188.18,97.2,True
SKU-00162,Product 162,Apparel,Standard,PACK,69.67,430.63,True
SKU-00163,Product 163,Tools,Standard,BOX,118.68,422.25,True
SKU-00164,Product 164,Tools,Standard,EA,130.18,289.53,False
SKU-00165,Product 165,Electronics,Standard,BOX,175.55,172.37,True
SKU-00166,Product 166,Tools,Premium,EA,48.4,108.27,True
SKU-00167,Product 167,Home,Standard,BOX,178.14,110.17,True
SKU-00168,Product 168,Home,Premium,BOX,78.94,172.22,True
SKU-00169,Product 169,Tools,Budget,PACK,184.43,254.45,True
SKU-00170,Product 170,Apparel,Premium,EA,82.85,293.99,True
SKU-00171,Product 171,Electronics,Budget,PACK,21.69,165.89,False
SKU-00172,Product 172,Tools,Standard,PACK,11.37,181.51,True
SKU-00173,Product 173,Tools,Budget,PACK,193.49,11.69,True
SKU-00174,Product 174,Electronics,Standard,EA,25.15,6.05,True
SKU-00175,Product 175,Apparel,Premium,PACK,108.7,454.06,True
SKU-00176,Product 176,Tools,Premium,EA,105.87,11.94,True
SKU-00177,Product 177,Apparel,Standard,EA,80.87,21.4,True
SKU-00178,Product 178,Home,Premium,BOX,84.19,106.79,True
SKU-00179,Product 179,Apparel,Budget,EA,95.67,372.98,False
SKU-00180,Product 180,Home,Budget,EA,20.81,341.07,True
SKU-00181,Product 181,Electronics,Budget,BOX,158.39,325.35,True
SKU-00182,Product 182,Tools,Standard,PACK,76.04,289.6,True
SKU-00183,Product 183,Home,Budget,BOX,49.66,104.84,True
SKU-00184,Product 184,Apparel,Budget,BOX,64.34,201.98,True
SKU-00185,Product 185,Tools,Budget,BOX,122.76,241.66,True
SKU-00186,Product 186,Home,Budget,EA,155.25,293.31,True
SKU-00187,Product 187,Home,Budget,BOX,31.53,103.22,True
SKU-00188,Product 188,Apparel,Budget,EA,118.92,365.87,True
SKU-00189,Product 189,Home,Standard,EA,85.06,157.91,True
SKU-00190,Product 190,Electronics,Budget,EA,172.53,331.81,True
SKU-00191,Product 191,Home,Standard,EA,189.91,259.42,True
SKU-00192,Product 192,Apparel,Standard,PACK,136.03,298.15,True
SKU-00193,Product 193,Tools,Standard,EA,118.37,209.51,True
SKU-00194,Product 194,Apparel,Budget,EA,156.29,225.31,True
SKU-00195,Product 195,Apparel,Budget,BOX,99.67,434.75,True
SKU-00196,Product 196,Tools,Standard,BOX,12.02,240.56,True
SKU-00197,Product 197,Home,Standard,EA,140.52,397.97,True
SKU-00198,Product 198,Electronics,Budget,PACK,116.5,200.54,True
SKU-00199,Product 199,Apparel,Premium,PACK,31.14,351.76,True
SKU-00200,Product 200,Apparel,Premium,BOX,43.38,120.28,True
SKU-00201,Product 201,Electronics,Premium,PACK,46.9,458.92,True
SKU-00202,Product 202,Apparel,Budget,BOX,146.75,483.8,True
SKU-00203,Product 203,Tools,Standard,PACK,104.16,451.16,True
SKU-00204,Product 204,Home,Premium,PACK,10.53,176.48,True
SKU-00205,Product 205,Tools,Standard,PACK,167.76,141.86,True
SKU-00206,Product 206,Apparel,Budget,BOX,129.35,95.31,True
SKU-00207,Product 207,Tools,Standard,BOX,146.9,437.13,True
SKU-00208,Product 208,Apparel,Premium,EA,187.55,63.72,True
SKU-00209,Product 209,Home,Budget,EA,52.77,322.95,True
SKU-00210,Product 210,Tools,Standard,PACK,118.33,169.07,True
SKU-00211,Product 211,Tools,Budget,PACK,152.27,98.02,True
SKU-00212,Product 212,Electronics,Premium,PACK,103.05,96.32,True
SKU-00213,Product 213,Electronics,Premium,BOX,97.73,436.13,True
SKU-00214,Product 214,Apparel,Premium,PACK,185.82,430.61,True
SKU-00215,Product 215,Tools,Budget,EA,49.48,139.65,True
SKU-00216,Product 216,Home,Budget,PACK,130.92,21.71,True
SKU-00217,Product 217,Home,Premium,EA,194.09,435.2,True
SKU-00218,Product 218,Electronics,Budget,PACK,44.78,33.38,True
SKU-00219,Product 219,Electronics,Budget,PACK,93.02,46.94,True
SKU-00220,Product 220,Electronics,Premium,PACK,195.11,411.85,True
SKU-00221,Product 221,Home,Premium,EA,8.13,409.52,True
SKU-00222,Product 222,Home,Standard,EA,126.34,105.23,True
SKU-00223,Product 223,Home,Premium,BOX,81.5,23.92,True
SKU-00224,Product 224,Apparel,Budget,EA,154.45,36.18,True
SKU-00225,Product 225,Tools,Standard,PACK,65.32,229.43,True
SKU-00226,Product 226,Apparel,Budget,EA,75.2,212.03,True
SKU-00227,Product 227,Tools,Standard,PACK,103.61,95.23,False
SKU-00228,Product 228,Tools,Budget,PACK,69.83,454.97,True
SKU-00229,Product 229,Tools,Standard,EA,52.66,278.44,True
SKU-00230,Product 230,Electronics,Standard,BOX,71.71,404.63,True
SKU-00231,Product 231,Tools,Budget,EA,181.68,56.34,False
SKU-00232,Product 232,Electronics,Standard,EA,69.19,486.86,True
SKU-00233,Product 233,Tools,Budget,PACK,179.99,405.82,True
SKU-00234,Product 234,Apparel,Budget,EA,41.8,147.47,True
SKU-00235,Product 235,Apparel,Standard,BOX,134.76,15.29,True
SKU-00236,Product 236,Tools,Premium,PACK,149.25,86.43,False
SKU-00237,Product 237,Apparel,Premium,EA,23.16,212.16,True
SKU-00238,Product 238,Apparel,Premium,BOX,109.25,6.48,False
SKU-00239,Product 239,Tools,Budget,PACK,3.6,25.22,True
SKU-00240,Product 240,Tools,Budget,BOX,185.72,53.82,True
SKU-00241,Product 241,Electronics,Premium,BOX,105.33,405.81,True
SKU-00242,Product 242,Apparel,Budget,PACK,8.32,275.7,True
SKU-00243,Product 243,Apparel,Premium,EA,136.96,99.54,True
SKU-00244,Product 244,Tools,Budget,BOX,177.26,135.91,False
SKU-00245,Product 245,Home,Budget,PACK,147.77,322.88,True
SKU-00246,Product 246,Electronics,Budget,EA,27.61,162.71,True
SKU-00247,Product 247,Electronics,Premium,BOX,108.44,342.66,True
SKU-00248,Product 248,Home,Standard,PACK,146.89,390.22,True
SKU-00249,Product 249,Electronics,Budget,BOX,160.31,156.78,True
SKU-00250,Product 250,Electronics,Budget,EA,4.18,186.42,True
SKU-00251,Product 251,Apparel,Premium,EA,57.46,29.79,True
SKU-00252,Product 252,Apparel,Premium,EA,177.04,410.8,True
SKU-00253,Product 253,Tools,Budget,PACK,52.43,305.0,True
SKU-00254,Product 254,Tools,Budget,EA,95.03,444.69,False
SKU-00255,Product 255,Electronics,Standard,EA,139.64,98.52,True
SKU-00256,Product 256,Home,Budget,PACK,197.13,480.5,True
SKU-00257,Product 257,Tools,Budget,EA,85.75,354.83,True
SKU-00258,Product 258,Tools,Budget,EA,101.23,102.32,True
SKU-00259,Product 259,Home,Standard,EA,112.17,234.17,True
SKU-00260,Product 260,Electronics,Budget,PACK,47.6,350.98,True
SKU-00261,Product 261,Electronics,Standard,EA,74.37,13.4,False
SKU-00262,Product 262,Tools,Premium,BOX,87.46,391.24,True
SKU-00263,Product 263,Electronics,Budget,PACK,4.85,474.1,True
SKU-00264,Product 264,Electronics,Budget,BOX,2.52,45.34,True
SKU-00265,Product 265,Tools,Budget,PACK,45.64,449.57,True
SKU-00266,Product 266,Tools,Budget,PACK,102.93,234.9,True
SKU-00267,Product 267,Apparel,Standard,PACK,191.18,260.22,True
SKU-00268,Product 268,Apparel,Premium,BOX,194.55,420.85,True
SKU-00269,Product 269,Electronics,Premium,EA,129.79,296.88,True
SKU-00270,Product 270,Home,Standard,EA,165.57,178.96,True
SKU-00271,Product 271,Apparel,Standard,EA,180.24,367.63,True
SKU-00272,Product 272,Electronics,Standard,EA,167.99,73.47,True
SKU-00273,Product 273,Home,Standard,PACK,109.2,334.81,False
SKU-00274,Product 274,Apparel,Budget,PACK,141.13,388.44,True
SKU-00275,Product 275,Apparel,Budget,BOX,1.72,170.71,True
SKU-00276,Product 276,Electronics,Standard,EA,129.97,485.27,True
SKU-00277,Product 277,Tools,Budget,PACK,85.75,322.1,True
SKU-00278,Product 278,Tools,Budget,EA,129.3,52.36,True
SKU-00279,Product 279,Home,Premium,EA,139.19,483.31,True
SKU-00280,Product 280,Tools,Budget,BOX,20.48,373.28,True
SKU-00281,Product 281,Electronics,Premium,PACK,175.03,349.34,True
SKU-00282,Product 282,Apparel,Budget,EA,35.97,130.36,True
SKU-00283,Product 283,Home,Premium,BOX,3.08,239.21,False
SKU-00284,Product 284,Tools,Premium,BOX,86.51,451.02,False
SKU-00285,Product 285,Apparel,Premium,EA,18.84,157.54,True
SKU-00286,Product 286,Electronics,Premium,EA,191.24,214.55,True
SKU-00287,Product 287,Electronics,Standard,BOX,57.48,132.09,True
SKU-00288,Product 288,Apparel,Budget,BOX,45.5,111.87,True
SKU-00289,Product 289,Electronics,Standard,EA,53.14,26.64,False
SKU-00290,Product 290,Electronics,Budget,EA,57.39,369.77,True
SKU-00291,Product 291,Apparel,Standard,BOX,13.45,49.93,False
SKU-00292,Product 292,Tools,Budget,PACK,108.46,268.01,True
SKU-00293,Product 293,Home,Standard,BOX,4.58,29.65,True
SKU-00294,Product 294,Apparel,Standard,BOX,149.61,492.02,True
SKU-00295,Product 295,Apparel,Premium,PACK,153.78,356.18,True
SKU-00296,Product 296,Tools,Standard,EA,80.54,317.04,True
SKU-00297,Product 297,Home,Premium,BOX,194.19,97.26,True
SKU-00298,Product 298,Electronics,Premium,EA,156.58,266.39,True
SKU-00299,Product 299,Tools,Standard,PACK,25.49,254.26,True
SKU-00300,Product 300,Home,Budget,BOX,195.99,182.53,True
SKU-00301,Product 301,Apparel,Standard,EA,169.18,82.28,True
SKU-00302,Product 302,Home,Premium,EA,141.09,186.73,True
SKU-00303,Product 303,Tools,Premium,EA,131.04,306.51,True
SKU-00304,Product 304,Electronics,Standard,EA,121.35,246.24,True
SKU-00305,Product 305,Home,Standard,EA,198.05,287.17,True
SKU-00306,Product 306,Home,Standard,EA,96.22,288.15,True
SKU-00307,Product 307,Apparel,Standard,BOX,34.0,126.11,True
SKU-00308,Product 308,Home,Budget,BOX,59.6,59.93,True
SKU-00309,Product 309,Apparel,Premium,PACK,75.67,263.27,True
SKU-00310,Product 310,Tools,Standard,EA,63.97,446.72,True
SKU-00311,Product 311,Electronics,Standard,PACK,7.04,497.71,True
SKU-00312,Product 312,Tools,Standard,BOX,15.67,394.02,True
SKU-00313,Product 313,Home,Premium,PACK,1.98,114.45,True
SKU-00314,Product 314,Home,Premium,BOX,136.14,317.01,True
SKU-00315,Product 315,Apparel,Premium,BOX,133.24,123.24,False
SKU-00316,Product 316,Apparel,Standard,PACK,14.56,290.34,True
SKU-00317,Product 317,Tools,Premium,BOX,63.72,242.94,True
SKU-00318,Product 318,Tools,Standard,BOX,57.32,193.87,True
SKU-00319,Product 319,Tools,Standard,PACK,91.27,322.61,True
SKU-00320,Product 320,Electronics,Budget,PACK,72.38,429.57,True
SKU-00321,Product 321,Apparel,Budget,EA,164.28,172.05,True
SKU-00322,Product 322,Tools,Budget,PACK,176.65,245.7,True
SKU-00323,Product 323,Apparel,Premium,BOX,42.0,230.63,True
SKU-00324,Product 324,Tools,Budget,EA,25.08,128.37,True
SKU-00325,Product 325,Electronics,Premium,BOX,168.02,213.45,True
SKU-00326,Product 326,Apparel,Standard,PACK,100.8,15.68,True
SKU-00327,Product 327,Apparel,Budget,BOX,65.55,261.13,True
SKU-00328,Product 328,Apparel,Budget,PACK,11.23,361.79,True
SKU-00329,Product 329,Apparel,Premium,PACK,121.62,186.97,False
SKU-00330,Product 330,Electronics,Premium,PACK,42.34,374.55,True
SKU-00331,Product 331,Tools,Budget,EA,8.5,376.57,True
SKU-00332,Product 332,Electronics,Premium,PACK,89.52,492.14,True
SKU-00333,Product 333,Apparel,Premium,BOX,119.83,275.24,False
SKU-00334,Product 334,Home,Premium,EA,35.1,205.01,True
SKU-00335,Product 335,Electronics,Standard,EA,130.64,321.56,True
SKU-00336,Product 336,Home,Budget,EA,38.59,315.16,True
SKU-00337,Product 337,Apparel,Premium,BOX,5.13,493.73,True
SKU-00338,Product 338,Apparel,Premium,PACK,30.64,355.31,True
SKU-00339,Product 339,Electronics,Standard,EA,117.81,156.76,True
SKU-00340,Product 340,Home,Standard,PACK,127.43,97.82,True
SKU-00341,Product 341,Electronics,Standard,PACK,173.09,397.4,True
SKU-00342,Product 342,Electronics,Standard,BOX,13.42,93.98,True
SKU-00343,Product 343,Electronics,Budget,EA,190.64,315.58,True
SKU-00344,Product 344,Apparel,Budget,BOX,104.86,70.5,True
SKU-00345,Product 345,Tools,Premium,EA,49.87,360.76,True
SKU-00346,Product 346,Home,Budget,EA,73.72,392.53,True
SKU-00347,Product 347,Tools,Premium,PACK,12.08,495.32,True
SKU-00348,Product 348,Tools,Budget,PACK,22.91,477.34,True
SKU-00349,Product 349,Apparel,Budget,EA,176.6,358.33,True
SKU-00350,Product 350,Apparel,Budget,EA,22.08,142.38,True
SKU-00351,Product 351,Apparel,Premium,PACK,12.11,26.64,True
SKU-00352,Product 352,Electronics,Premium,EA,120.06,279.84,True
SKU-00353,Product 353,Apparel,Standard,EA,77.16,384.16,False
SKU-00354,Product 354,Apparel,Premium,EA,81.78,10.26,False
SKU-00355,Product 355,Apparel,Standard,BOX,24.93,264.78,True
SKU-00356,Product 356,Apparel,Premium,EA,9.79,442.03,True
SKU-00357,Product 357,Tools,Premium,EA,173.28,320.42,True
SKU-00358,Product 358,Tools,Budget,PACK,78.52,343.47,False
SKU-00359,Product 359,Apparel,Premium,PACK,22.91,239.79,True
SKU-00360,Product 360,Tools,Budget,BOX,40.85,471.86,False
SKU-00361,Product 361,Apparel,Premium,PACK,21.48,190.45,True
SKU-00362,Product 362,Home,Standard,EA,96.14,192.65,True
SKU-00363,Product 363,Electronics,Premium,BOX,160.9,261.28,True
SKU-00364,Product 364,Apparel,Budget,EA,79.3,295.04,True
SKU-00365,Product 365,Tools,Budget,EA,124.36,271.03,True
SKU-00366,Product 366,Electronics,Budget,EA,135.41,410.22,False
SKU-00367,Product 367,Tools,Budget,BOX,142.7,418.08,True
SKU-00368,Product 368,Home,Premium,PACK,121.5,70.17,True
SKU-00369,Product 369,Home,Budget,PACK,111.26,300.1,True
SKU-00370,Product 370,Electronics,Budget,PACK,96.2,492.03,True
SKU-00371,Product 371,Home,Premium,EA,95.25,301.83,True
SKU-00372,Product 372,Apparel,Budget,BOX,67.25,345.64,False
SKU-00373,Product 373,Home,Standard,PACK,101.4,431.38,True
SKU-00374,Product 374,Tools,Standard,BOX,96.33,433.97,True
SKU-00375,Product 375,Apparel,Budget,BOX,64.57,13.51,False
SKU-00376,Product 376,Tools,Standard,EA,60.93,123.52,True
SKU-00377,Product 377,Electronics,Budget,BOX,89.77,432.12,False
SKU-00378,Product 378,Electronics,Premium,PACK,160.81,335.21,True
SKU-00379,Product 379,Electronics,Standard,PACK,50.29,317.69,True
SKU-00380,Product 380,Tools,Standard,BOX,169.23,430.67,True
SKU-00381,Product 381,Tools,Premium,BOX,145.07,404.24,True
SKU-00382,Product 382,Electronics,Standard,BOX,53.12,376.92,True
SKU-00383,Product 383,Tools,Budget,BOX,3.75,28.44,True
SKU-00384,Product 384,Electronics,Budget,PACK,16.29,391.92,False
SKU-00385,Product 385,Electronics,Standard,PACK,176.69,104.3,True
SKU-00386,Product 386,Tools,Premium,EA,161.58,17.87,True
SKU-00387,Product 387,Apparel,Budget,BOX,76.54,248.49,True
SKU-00388,Product 388,Electronics,Budget,PACK,13.28,471.47,True
SKU-00389,Product 389,Home,Standard,BOX,162.42,443.79,True
SKU-00390,Product 390,Apparel,Premium,PACK,51.79,491.12,True
SKU-00391,Product 391,Apparel,Budget,EA,190.67,127.03,True
SKU-00392,Product 392,Apparel,Premium,PACK,105.06,349.22,True
SKU-00393,Product 393,Apparel,Standard,PACK,143.32,32.64,True
SKU-00394,Product 394,Electronics,Standard,EA,92.9,402.71,False
SKU-00395,Product 395,Electronics,Budget,BOX,6.51,264.26,True
SKU-00396,Product 396,Electronics,Premium,PACK,13.57,498.16,True
SKU-00397,Product 397,Home,Premium,EA,195.22,123.8,True
SKU-00398,Product 398,Electronics,Standard,EA,83.04,393.4,False
SKU-00399,Product 399,Electronics,Standard,EA,37.45,89.62,True
SKU-00400,Product 400,Home,Standard,PACK,144.34,147.16,True
SKU-00401,Product 401,Electronics,Standard,BOX,176.56,151.3,True
SKU-00402,Product 402,Tools,Standard,PACK,54.13,291.04,True
SKU-00403,Product 403,Tools,Budget,PACK,114.65,185.73,True
SKU-00404,Product 404,Electronics,Budget,PACK,49.83,222.16,True
SKU-00405,Product 405,Apparel,Premium,EA,164.69,263.29,True
SKU-00406,Product 406,Electronics,Budget,BOX,18.27,32.83,True
SKU-00407,Product 407,Home,Budget,PACK,75.13,334.35,True
SKU-00408,Product 408,Apparel,Budget,BOX,76.6,326.39,True
SKU-00409,Product 409,Home,Premium,PACK,127.75,482.58,True
SKU-00410,Product 410,Tools,Budget,BOX,36.46,71.03,True
